row_label_raw,row_label_full,STT,Tên,Địa điểm,Hoạt động chính,31.12.2021,31.12.2020,numeric__Tên,numeric__Địa điểm,numeric__Hoạt động chính,numeric__31.12.2021,numeric__31.12.2020
STT,STT,STT,Tên,Địa điểm,Hoạt động chính,Tỷ lệ biểu quyết %,Tỷ lệ biểu quyết %,,,,,
,,,Công ty con gián tiếp: (tiếp theo),Công ty con gián tiếp: (tiếp theo),Công ty con gián tiếp: (tiếp theo),Công ty con gián tiếp: (tiếp theo),Công ty con gián tiếp: (tiếp theo),,,,,
51,STT > 51,51,Công ty Cổ phần Big Ben Holiday,TP. Hồ Chí Minh,Dịch vụ lưu trú ngắn ngày,"99,99",-,,,,99.99,
52,STT > 52,52,Công ty Cổ phần Dịch vụ Đầu tư Lucky House,TP. Hồ Chí Minh,Kinh doanh bất động sản,"99,99",-,,,,99.99,
53,STT > 53,53,Công ty TNHH Du lịch Bình An,Tỉnh Bà Rịa - Vũng Tàu,Dịch vụ lưu trú ngắn ngày,"99,99",-,,,,99.99,
54,STT > 54,54,Công ty Cổ phần Hoàn Vũ,Tỉnh Bà Rịa - Vũng Tàu,Xây dựng nhà đề ở,"99,88",-,,,,99.88,
,,,Công ty liên kết gián tiếp:,Công ty liên kết gián tiếp:,Công ty liên kết gián tiếp:,Công ty liên kết gián tiếp:,Công ty liên kết gián tiếp:,,,,,
1,STT > 1,1,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,TP. Hồ Chí Minh,Kinh doanh bất động sản,"48,98","99,98",,,,48.98,99.98
2,STT > 2,2,Công ty TNHH Sài Gòn Gôn,TP. Hồ Chí Minh,Kinh doanh bất động sản,"50,00","50,00",,,,50.0,50.0
3,STT > 3,3,Công ty Cổ phần Đầu tư Nova SQN,TP. Hồ Chí Minh,Kinh doanh bất động sản,"49,72","49,72",,,,49.72,49.72
4,STT > 4,4,Công ty Cổ phần Nova Security,TP. Hồ Chí Minh,Hoạt động bảo vệ cá nhân,"24,00","24,00",,,,24.0,24.0
5,STT > 5,5,Công ty TNHH Đô thị Dịch vụ Amata Long Thành 2,Tỉnh Đồng Nai,Kinh doanh bất động sản,"49,00",-,,,,49.0,
6,STT > 6,6,Công ty TNHH Đô thị Dịch vụ Amata Long Thành 1,Tỉnh Đồng Nai,Kinh doanh bất động sản,"49,00",-,,,,49.0,
