row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Quyền sửdụng đấtVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Quyền sửdụng đấtVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,312.374.527.525,75.092.806.363,387.467.333.888,312374527525.0,75092806363.0,387467333888.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,312.374.527.525,75.092.806.363,387.467.333.888,312374527525.0,75092806363.0,387467333888.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(34.997.058.990),-,(34.997.058.990),-34997058990.0,,-34997058990.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(6.092.808.181),-,(6.092.808.181),-6092808181.0,,-6092808181.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(41.089.867.171),-,(41.089.867.171),-41089867171.0,,-41089867171.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,277.377.468.535,75.092.806.363,352.470.274.898,277377468535.0,75092806363.0,352470274898.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,271.284.660.354,75.092.806.363,346.377.466.717,271284660354.0,75092806363.0,346377466717.0
