row_label_raw,row_label_full,col_0,col_1,Số dư dàu nám VND,Số (phài thu)/ phài nộp trong nám VND,Cán trù trong nám VND,Số đã thực nộp trong nám VND,Số dư cuối năm VND,numeric__col_1,numeric__Số dư dàu nám VND,numeric__Số (phài thu)/ phài nộp trong nám VND,numeric__Cán trù trong nám VND,numeric__Số đã thực nộp trong nám VND,numeric__Số dư cuối năm VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(7.971.708.287),(60.346.526.703),68.318.234.990,-,-,,-7971708287.0,-60346526703.0,68318234990.0,,
(a),(a) > (a),(a),Thuế GTGT nộp thừa,-,(124.923.213),-,-,(124.923.213),,,-124923213.0,,,-124923213.0
(a),(a) > (a),(a),Thuế TNDN tạm nộp 1%,(3.398.844.983),-,-,-,(3.398.844.983),,-3398844983.0,,,,-3398844983.0
(a),(a) > (a),(a),Thuế TNDN theo kết quả hoạt động sản xuất kinh doanh (nộp thừa),(266.404.354),-,-,-,(266.404.354),,-266404354.0,,,,-266404354.0
(a),(a) > (a),(a),,(11.636.957.624),(60.471.449.916),68.318.234.990,-,(3.790.172.550),,-11636957624.0,-60471449916.0,68318234990.0,,-3790172550.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế GTGT,-,108.272.986.788,(68.318.234.990),(36.171.801.127),3.782.950.671,,,108272986788.0,-68318234990.0,-36171801127.0,3782950671.0
(b),(b) > (b),(b),Thuế TNDN,13.188.893.444,(95.292.353),-,(13.093.601.091),-,,13188893444.0,-95292353.0,,-13093601091.0,
(b),(b) > (b),(b),Thuế thu nhập cá nhân,12.410.853.137,65.492.473.556,-,(67.715.581.494),10.187.745.199,,12410853137.0,65492473556.0,,-67715581494.0,10187745199.0
(b),(b) > (b),(b),Thuế khác,21.306.661.586,71.757.103.684,-,(85.731.415.435),7.332.349.835,,21306661586.0,71757103684.0,,-85731415435.0,7332349835.0
(b),(b) > (b),(b),,46.906.408.167,245.427.271.675,(68.318.234.990),(202.712.399.147),21.303.045.705,,46906408167.0,245427271675.0,-68318234990.0,-202712399147.0,21303045705.0
