row_label_raw,row_label_full,Năm phát sinh lỗ,Tình trạng kiểm tra của các cơ quan thuế,Số lỗ phát sinh VND,Số lỗ tính thuế đã được sử dụng VND,Số lỗ còn được chuyển sang các kỳ tính thuế sau VND,numeric__Tình trạng kiểm tra của các cơ quan thuế,numeric__Số lỗ phát sinh VND,numeric__Số lỗ tính thuế đã được sử dụng VND,numeric__Số lỗ còn được chuyển sang các kỳ tính thuế sau VND
2018,2018,2018,Đã kiểm tra,1.189.332.502.205,(1.079.202.661.832),110.129.840.373,,1189332502205.0,-1079202661832.0,110129840373.0
2019,2019,2019,Đã kiểm tra,853.144.722.133,(16.105.963.813),837.038.758.320,,853144722133.0,-16105963813.0,837038758320.0
2021,2021,2021,Chưa quyết toán,663.845.990.082,-,663.845.990.082,,663845990082.0,,663845990082.0
