row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu_1,Vốn góp của chủ sở hữu_2,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu,numeric__Vốn góp của chủ sở hữu_1,numeric__Vốn góp của chủ sở hữu_2,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
,,,Cổ phần thường VND,Cổ phần ưu đãi VND,Thặng dư vốn cổ phần VND,LNST chưa phân phối VND,Tổng cộng VND,,,,,
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,9.695.407.970.000,-,3.860.189.781.026,3.339.027.182.020,16.894.624.933.046,9695407970000.0,,3860189781026.0,3339027182020.0,16894624933046.0
Phát hành cổ phần thường theo ESOP,Phát hành cổ phần thường theo ESOP,Phát hành cổ phần thường theo ESOP,145.431.100.000,-,-,-,145.431.100.000,145431100000.0,,,,145431100000.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi,22.013.900.000,-,110.069.500.000,-,132.083.400.000,22013900000.0,,110069500000.0,,132083400000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.072.446.006.606,3.072.446.006.606,,,,3072446006606.0,3072446006606.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,9.862.852.970.000,-,3.970.259.281.026,6.411.473.188.626,20.244.585.439.652,9862852970000.0,,3970259281026.0,6411473188626.0,20244585439652.0
Phát hành cổ phiếu phổ thông (i),Phát hành cổ phiếu phổ thông (i),Phát hành cổ phiếu phổ thông (i),775.693.580.000,-,3.816.412.413.600,-,4.592.105.993.600,775693580000.0,,3816412413600.0,,4592105993600.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (ii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (ii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (ii),178.843.960.000,-,894.219.800.000,-,1.073.063.760.000,178843960000.0,,894219800000.0,,1073063760000.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (iii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (iii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (iii),59.520.340.000,-,202.369.160.000,-,261.889.500.000,59520340000.0,,202369160000.0,,261889500000.0
Phát hành cổ phiếu để trả cổ tức (iv),Phát hành cổ phiếu để trả cổ tức (iv),Phát hành cổ phiếu để trả cổ tức (iv),4.568.157.000.000,-,-,(4.568.157.000.000),-,4568157000000.0,,,-4568157000000.0,
Phát hành cổ phiếu phổ thông bằng thăng dư vốn cổ phần (v),Phát hành cổ phiếu phổ thông bằng thăng dư vốn cổ phần (v),Phát hành cổ phiếu phổ thông bằng thăng dư vốn cổ phần (v),3.859.145.340.000,-,(3.859.145.340.000),-,-,3859145340000.0,,-3859145340000.0,,
Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,-,-,(890.000.000),-,(890.000.000),,,-890000000.0,,-890000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,727.834.870.632,727.834.870.632,,,,727834870632.0,727834870632.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,19.304.213.190.000,-,5.023.225.314.626,2.571.151.059.258,26.898.589.563.884,19304213190000.0,,5023225314626.0,2571151059258.0,26898589563884.0
