row_label_raw,row_label_full,col_0,col_1,Mẫu số B 09 – DN,Mẫu số B 09 – DN_1,Mẫu số B 09 – DN_2,Mẫu số B 09 – DN_3,Mẫu số B 09 – DN_4,Mẫu số B 09 – DN_5,numeric__col_1,numeric__Mẫu số B 09 – DN,numeric__Mẫu số B 09 – DN_1,numeric__Mẫu số B 09 – DN_2,numeric__Mẫu số B 09 – DN_3,numeric__Mẫu số B 09 – DN_4,numeric__Mẫu số B 09 – DN_5
,,,,Số dư đầu năm VND,Nhận tiền vay VND,Chênh lệch tỷ giá VND,Vay dài hạn đến hạn trả VND,Trả nợ vay/phân bổ chi phí phát hành trái phiếu VND,Số dư cuối năm VND,,,,,,,
,,,Vay ngân hàng (*),674.229.564.882,608.674.973.537,(9.221.778.540),803.814.570.102,(886.941.885.415),1.190.555.444.566,,674229564882.0,608674973537.0,-9221778540.0,803814570102.0,-886941885415.0,1190555444566.0
,,,Vay bên thứ ba (**),3.642.300.000.000,3.508.485.000.000,(4.705.405.700),1.188.408.000.000,(6.867.607.594.300),1.466.880.000.000,,3642300000000.0,3508485000000.0,-4705405700.0,1188408000000.0,-6867607594300.0,1466880000000.0
,,,Trái phiếu (***),2.746.700.000.000,-,(5.025.500.000),5.186.915.000.000,(3.188.589.500.000),4.740.000.000.000,,2746700000000.0,,-5025500000.0,5186915000000.0,-3188589500000.0,4740000000000.0
,,,Chi phí phát hành trái phiếu,(23.037.208.188),(1.211.533.333),-,(158.458.058.714),116.345.867.578,(66.360.932.657),,-23037208188.0,-1211533333.0,,-158458058714.0,116345867578.0,-66360932657.0
,,,,7.040.192.356.694,4.115.948.440.204,(18.952.684.240),7.020.679.511.388,(10.826.793.112.137),7.331.074.511.909,,7040192356694.0,4115948440204.0,-18952684240.0,7020679511388.0,-10826793112137.0,7331074511909.0
(b),(b),(b),Dài hạn,,,,,,,,,,,,,
(b),(b),(b),,Số dư đầu năm VND,Nhận tiền vay VND,Chênh lệch tỷ giá VND,Vay dài hạn đến hạn trả VND,Trả nợ vay/phân bổ chi phí phát hành trái phiếu VND,Số dư cuối năm VND,,,,,,,
(b),(b) > (b),(b),Vay ngân hàng (*),1.057.593.144.847,1.600.000.000.000,(3.792.857.185),(803.814.570.102),-,1.849.985.717.560,,1057593144847.0,1600000000000.0,-3792857185.0,-803814570102.0,,1849985717560.0
(b),(b) > (b),(b),Vay bên thứ ba (**),1.044.675.000.000,2.800.450.000.000,20.087.000.000,(1.188.408.000.000),-,2.676.804.000.000,,1044675000000.0,2800450000000.0,20087000000.0,-1188408000000.0,,2676804000000.0
(b),(b) > (b),(b),Trái phiếu (***),15.203.338.000.000,14.131.459.200.000,(67.202.491.000),(5.186.915.000.000),(5.106.220.509.000),18.974.459.200.000,,15203338000000.0,14131459200000.0,-67202491000.0,-5186915000000.0,-5106220509000.0,18974459200000.0
(b),(b) > (b),(b),Chi phí phát hành trái phiếu,(283.419.389.536),(730.114.054.151),-,158.458.058.714,421.112.979.553,(433.962.405.420),,-283419389536.0,-730114054151.0,,158458058714.0,421112979553.0,-433962405420.0
(b),(b) > (b),(b),,17.022.186.755.311,17.801.795.145.849,(50.908.348.185),(7.020.679.511.388),(4.685.107.529.447),23.067.286.512.140,,17022186755311.0,17801795145849.0,-50908348185.0,-7020679511388.0,-4685107529447.0,23067286512140.0
