row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,67.156.954.686,68.225.623.660,67156954686.0,68225623660.0
Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,48.477.010.105,52.663.056.548,48477010105.0,52663056548.0
Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,1.376.543.514,2.066.556.617,1376543514.0,2066556617.0
Khác,Khác,Khác,17.303.401.067,13.496.010.495,17303401067.0,13496010495.0
Dài hạn,Dài hạn,Dài hạn,134.279.554.839,258.812.032.946,134279554839.0,258812032946.0
Tiền thuê đất trả trước,Tiền thuê đất trả trước,Tiền thuê đất trả trước,55.836.927.892,57.085.135.252,55836927892.0,57085135252.0
Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,Công cụ dụng cụ sử dụng cho công trình xây dựng,55.570.076.026,159.592.870.016,55570076026.0,159592870016.0
Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,Phí bảo lãnh ngân hàng,7.246.827.100,14.306.490.534,7246827100.0,14306490534.0
Khác,Khác,Khác,15.625.723.821,27.827.537.144,15625723821.0,27827537144.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,201.436.509.525,327.037.656.606,201436509525.0,327037656606.0
