row_label_raw,row_label_full,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,Số đầu năm > Giá trị thuần,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị thuần
246.849.592.925,246.849.592.925,246.849.592.925,(12.518.584.331),234.331.008.594,209.059.228.943,(12.518.584.331),196.540.644.612,-12518584331.0,234331008594.0,209059228943.0,-12518584331.0,196540644612.0
174.569.183.382,174.569.183.382,174.569.183.382,(106.751.385.390),67.817.797.992,174.569.183.382,(106.751.385.390),67.817.797.992,-106751385390.0,67817797992.0,174569183382.0,-106751385390.0,67817797992.0
59.949.692.975,59.949.692.975,59.949.692.975,(34.979.522.974),24.970.170.001,74.401.786.265,(31.881.707.904),42.520.078.361,-34979522974.0,24970170001.0,74401786265.0,-31881707904.0,42520078361.0
57.673.923.878,57.673.923.878,57.673.923.878,(14.038.258.827),43.635.665.051,96.071.006.515,(17.199.000.142),78.872.006.373,-14038258827.0,43635665051.0,96071006515.0,-17199000142.0,78872006373.0
45.334.242.312,45.334.242.312,45.334.242.312,(31.577.332.834),13.756.909.478,45.334.242.312,(15.293.838.237),30.040.404.075,-31577332834.0,13756909478.0,45334242312.0,-15293838237.0,30040404075.0
35.114.698.647,35.114.698.647,35.114.698.647,(27.484.865.126),7.629.833.521,35.114.698.647,(13.255.581.428),21.859.117.219,-27484865126.0,7629833521.0,35114698647.0,-13255581428.0,21859117219.0
34.229.683.871,34.229.683.871,34.229.683.871,(12.899.994.196),21.329.689.675,37.921.291.047,(12.711.022.055),25.210.268.992,-12899994196.0,21329689675.0,37921291047.0,-12711022055.0,25210268992.0
33.040.839.888,33.040.839.888,33.040.839.888,(15.092.917.947),17.947.921.941,33.240.524.367,(14.892.917.947),18.347.606.420,-15092917947.0,17947921941.0,33240524367.0,-14892917947.0,18347606420.0
24.820.939.616,24.820.939.616,24.820.939.616,(24.820.939.616),-,24.322.404.658,(11.043.901.286),13.278.503.372,-24820939616.0,,24322404658.0,-11043901286.0,13278503372.0
-,-,-,-,-,82.945.325.075,(34.697.725.149),48.247.599.926,,,82945325075.0,-34697725149.0,48247599926.0
2.050.289.390.782,2.050.289.390.782,2.050.289.390.782,(104.491.510.342),1.945.797.880.440,716.652.066.710,(97.696.788.162),618.955.278.548,-104491510342.0,1945797880440.0,716652066710.0,-97696788162.0,618955278548.0
2.761.872.188.276,2.761.872.188.276,2.761.872.188.276,(384.655.311.583),2.377.216.876.693,1.529.631.757.921,(367.942.452.031),1.161.689.305.890,-384655311583.0,2377216876693.0,1529631757921.0,-367942452031.0,1161689305890.0
