row_label_raw,row_label_full,Ông Đặng Doãn Kiên,Trường Ban,numeric__Trường Ban
Ông Phương Công Thắng,Ông Phương Công Thắng,Ông Phương Công Thắng,Thành viên,
Ông Hoàng Quang Huy,Ông Hoàng Quang Huy,Ông Hoàng Quang Huy,Thành viên,
Bà Phạm Lâm Quỳnh Trâm,Bà Phạm Lâm Quỳnh Trâm,Bà Phạm Lâm Quỳnh Trâm,Thành viên,
