row_label_raw,row_label_full,Cho bên liên quan vay (Thuyết minh số 32),Số cuối năm > 507.284.289.018,VND Số đầu năm > 391.237.750.551,numeric__Số cuối năm > 507.284.289.018,numeric__VND Số đầu năm > 391.237.750.551
Cho bên khác vay,Cho bên khác vay,Cho bên khác vay,4.788.743.953,7.575.179.009,4788743953.0,7575179009.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,512.073.032.971,398.812.929.560,512073032971.0,398812929560.0
