row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 10),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 10),Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 10),Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 10),Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 10),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 10),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 10),numeric__Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 10),numeric__Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 10)
Ban lãnh đạo,Ban lãnh đạo,Ban lãnh đạo,,Tạm ứng lương,34.754.413.000,25.663.175.995,,,34754413000.0,25663175995.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phí trả hộCổ tức phải thu,11.552.610.369817.042.821,10.679.965.477817.042.821,,,1.1552610369817043e+19,1.0679965477817043e+19
Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty Cổ phần Tiến Phát Sanyo Homes,Công ty con,Lãi phạt chậm thanh toán,7.413.092.247,802.557.833,,,7413092247.0,802557833.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty liên kết,Chi phí trả hộ,2.037.517.512,-,,,2037517512.0,
Công ty Cổ phần 479 Hòa Bình,Công ty Cổ phần 479 Hòa Bình,Công ty Cổ phần 479 Hòa Bình,Công ty liên kết,Cổ tức phải thuChi phí trả hộ,1.602.982.8001.280.000,-,,,1.602982800128e+16,
Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty con,Chi phí trả hộ,1.382.536.766,1.382.536.766,,,1382536766.0,1382536766.0
Công ty TNHH Sơn Hòa Bình – Chi nhánh Hưng Yên,Công ty TNHH Sơn Hòa Bình – Chi nhánh Hưng Yên,Công ty TNHH Sơn Hòa Bình – Chi nhánh Hưng Yên,Công ty con,Chi phí trả hộ,404.199.415,33.300.909,,,404199415.0,33300909.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí trả hộ,277.184.722,1.986.002.080,,,277184722.0,1986002080.0
Công ty Cổ phần đầu tư phát triển Hòa Bình Huế,Công ty Cổ phần đầu tư phát triển Hòa Bình Huế,Công ty Cổ phần đầu tư phát triển Hòa Bình Huế,Công ty con,Chi phí trả hộ,169.519.247,169.519.247,,,169519247.0,169519247.0
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty con,Chi phí trả hộ,50.624.220,84.641.400,,,50624220.0,84641400.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí trả hộ,23.680.000,-,,,23680000.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Thuê văn phòng,6.200.166,316.325.183,,,6200166.0,316325183.0
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty con,Chi phí trả hộ,-,109.201.062,,,,109201062.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,60.492.883.285,42.044.268.773,,,60492883285.0,42044268773.0
Phải thu dài hạn khác(Thuyết minh số 10),Phải thu dài hạn khác(Thuyết minh số 10),Phải thu dài hạn khác(Thuyết minh số 10),Phải thu dài hạn khác(Thuyết minh số 10),Phải thu dài hạn khác(Thuyết minh số 10),Phải thu dài hạn khác(Thuyết minh số 10),Phải thu dài hạn khác(Thuyết minh số 10),,,,
Công ty Cổ phần Nhà Hòa Bình,Phải thu dài hạn khác(Thuyết minh số 10) > Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Ký quỹ thuê văn phòng,2.740.524.657,3.032.897.937,,,2740524657.0,3032897937.0
