row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18)
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty con,Thuê máy móc,222.266.195.027,233.365.597.504,,,222266195027.0,233365597504.0
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty con,Chi phí thầu phụ,32.647.566.440,55.436.998.878,,,32647566440.0,55436998878.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phí thầu phụ,25.239.234.780,61.787.260.209,,,25239234780.0,61787260209.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí thầu phụ,24.479.276.508,155.084.373.237,,,24479276508.0,155084373237.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phí thầu phụ,17.823.175.636,28.960.628.950,,,17823175636.0,28960628950.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí thầu phụ,2.047.091.017,3.480.486.897,,,2047091017.0,3480486897.0
Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty con,Mua vật tư xây dựng,1.530.195.513,2.148.185.107,,,1530195513.0,2148185107.0
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty con,Chi phí thầu phụ,1.210.000.000,-,,,1210000000.0,
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Chi phí thầu phụ,994.075.040,994.075.040,,,994075040.0,994075040.0
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con,Chi phí thầu phụ,604.830.870,4.197.113.851,,,604830870.0,4197113851.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty liên kết,Chi phí thầu phụ,309.485.772,319.613.673,,,309485772.0,319613673.0
Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty Cổ phần Bất động sản Okamura Sanyo,Công ty con,Thuê văn phòng,3.850.000,-,,,3850000.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phí thầu phụ,-,15.000.000,,,,15000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,329.154.976.603,545.789.333.346,,,329154976603.0,545789333346.0
