row_label_raw,row_label_full,col_0,Số đầu năm,Dự phòng trích lập trong năm,Hoàn nhập dự phòng trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Dự phòng trích lập trong năm,numeric__Hoàn nhập dự phòng trong năm,numeric__VND Số cuối năm
Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,(23.169.819.581),(3.597.399.100),954.322.522,(25.812.896.159),-23169819581.0,-3597399100.0,954322522.0,-25812896159.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,(1.470.865.591),(937.639.004),514.128.748,(1.894.375.847),-1470865591.0,-937639004.0,514128748.0,-1894375847.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,-,(1.284.850.229),-,(1.284.850.229),,-1284850229.0,,-1284850229.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(24.640.685.172),(5.819.888.333),1.468.451.270,(28.992.122.235),-24640685172.0,-5819888333.0,1468451270.0,-28992122235.0
