row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 21),Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 21),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 21),Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 21),Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 21),numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 21),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 21),numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 21),numeric__Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 21)
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phíthầu phụ,64.934.275.074,50.338.648.986,,,64934275074.0,50338648986.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phíthầu phụ,9.461.626.559,17.825.213.317,,,9461626559.0,17825213317.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phíthầu phụ,3.171.643.554,31.017.578.083,,,3171643554.0,31017578083.0
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con,Chi phíthầu phụ,3.112.826.199,628.242.676,,,3112826199.0,628242676.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty liên kết,Chi phíthầu phụ,3.014.691.057,-,,,3014691057.0,
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Chi phíthầu phụ,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Công ty con,Chi phíthầu phụ,1.897.340.254,-,,,1897340254.0,
Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty con,Chi phíthầu phụ,432.429.335,449.234.745,,,432429335.0,449234745.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phíthầu phụ,124.500.000,1.806.200.000,,,124500000.0,1806200000.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phíthầu phụ,117.829.235,500.000.000,,,117829235.0,500000000.0
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Chi phíthầu phụ,10.500.000,-,,,10500000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,88.277.661.267,104.565.117.807,,,88277661267.0,104565117807.0
Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),,,,
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Mượn tiền,2.546.600.000,2.546.600.000,,,2546600000.0,2546600000.0
Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty con,Chi hộ,800.000.000,800.000.000,,,800000000.0,800000000.0
Công ty TNHH Hòa Bình Myanmar,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty con,Mượn tiền,353.114.410,353.114.410,,,353114410.0,353114410.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,,,3.699.714.410,3.699.714.410,,,3699714410.0,3699714410.0
