row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Vốn đã góp,Vốn đã góp,Vốn đã góp,Vốn đã góp,Vốn đã góp,,
Vốn góp đầu năm,Vốn đã góp > Vốn góp đầu năm,Vốn góp đầu năm,2.308.753.980.000,1.960.749.770.000,2308753980000.0,1960749770000.0
Tăng trong năm,Vốn đã góp > Tăng trong năm,Tăng trong năm,-,348.004.210.000,,348004210000.0
Vốn góp cuối năm,Vốn đã góp > Vốn góp cuối năm,Vốn góp cuối năm,2.308.753.980.000,2.308.753.980.000,2308753980000.0,2308753980000.0
Cổ tức,Cổ tức,Cổ tức,Cổ tức,Cổ tức,,
Cổ tức phải trả bằng tiền,Cổ tức > Cổ tức phải trả bằng tiền,Cổ tức phải trả bằng tiền,69.262.619.400,58.822.493.100,69262619400.0,58822493100.0
Chia cổ tức bằng cổ phiếu,Cổ tức > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,-,98.004.210.000,,98004210000.0
Cổ tức đã trả trong năm,Cổ tức > Cổ tức đã trả trong năm,Cổ tức đã trả trong năm,(68.651.844.465),(56.406.439.380),-68651844465.0,-56406439380.0
