row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.960.749.770.000,30.494.112.981,94.548.441.157,694.148.822.614,2.779.941.146.752,1960749770000.0,30494112981.0,94548441157.0,694148822614.0,2779941146752.0
Chia cổ tức bằng cổ phiếu,Năm trước > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,98.004.210.000,-,-,(98.004.210.000),-,98004210000.0,,,-98004210000.0,
Phát hành cổ phiếu mới,Năm trước > Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,250.000.000.000,325.000.000.000,-,-,575.000.000.000,250000000000.0,325000000000.0,,,575000000000.0
Chi phí phát hành cổ phiếu,Năm trước > Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,-,(8.825.000.000),-,-,(8.825.000.000),,-8825000000.0,,,-8825000000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,399.806.773.619,399.806.773.619,,,,399806773619.0,399806773619.0
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,(58.822.493.100),(58.822.493.100),,,,-58822493100.0,-58822493100.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(39.264.483.067),(39.264.483.067),,,,-39264483067.0,-39264483067.0
Thường ban điều hành vàcán bộ trọng yếu,Năm trước > Thường ban điều hành vàcán bộ trọng yếu,Thường ban điều hành vàcán bộ trọng yếu,-,-,-,(11.082.047.940),(11.082.047.940),,,,-11082047940.0,-11082047940.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.308.753.980.000,346.669.112.981,94.548.441.157,886.782.362.126,3.636.753.896.264,2308753980000.0,346669112981.0,94548441157.0,886782362126.0,3636753896264.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.308.753.980.000,346.669.112.981,94.548.441.157,886.782.362.126,3.636.753.896.264,2308753980000.0,346669112981.0,94548441157.0,886782362126.0,3636753896264.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,76.180.472.141,76.180.472.141,,,,76180472141.0,76180472141.0
Cổ tức đã công bố,Năm nay > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,(69.262.619.400),(69.262.619.400),,,,-69262619400.0,-69262619400.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(7.350.830.016),(7.350.830.016),,,,-7350830016.0,-7350830016.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.308.753.980.000,346.669.112.981,94.548.441.157,886.349.384.851,3.636.320.918.989,2308753980000.0,346669112981.0,94548441157.0,886349384851.0,3636320918989.0
