row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.124.410.448,1.955.842.932.885,57.111.970.296,19.018.755.123,2.037.098.068.752,5124410448.0,1955842932885.0,57111970296.0,19018755123.0,2037098068752.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,13.502.079.568,-,102.516.136,13.604.595.704,,13502079568.0,,102516136.0,13604595704.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,830.047.524,-,-,830.047.524,,830047524.0,,,830047524.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(144.917.621.600),(421.837.772),-,(145.339.459.372),,-144917621600.0,-421837772.0,,-145339459372.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.124.410.448,1.825.257.438.377,56.690.132.524,19.121.271.259,1.906.193.252.608,5124410448.0,1825257438377.0,56690132524.0,19121271259.0,1906193252608.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,177.770.454.705,6.260.149.320,6.366.490.212,190.397.094.237,,177770454705.0,6260149320.0,6366490212.0,190397094237.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,1.747.314.614,835.341.977.458,22.603.953.542,12.622.946.317,872.316.191.931,1747314614.0,835341977458.0,22603953542.0,12622946317.0,872316191931.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,750.383.604,208.852.808.148,5.882.236.446,2.124.271.419,217.609.699.617,750383604.0,208852808148.0,5882236446.0,2124271419.0,217609699617.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,(102.109.297.736),(421.837.772),-,(102.531.135.508),,-102109297736.0,-421837772.0,,-102531135508.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,2.497.698.218,942.085.487.870,28.064.352.216,14.747.217.736,987.394.756.040,2497698218.0,942085487870.0,28064352216.0,14747217736.0,987394756040.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.377.095.834,1.120.500.955.427,34.508.016.754,6.395.808.806,1.164.781.876.821,3377095834.0,1120500955427.0,34508016754.0,6395808806.0,1164781876821.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.626.712.230,883.171.950.507,28.625.780.308,4.374.053.523,918.798.496.568,2626712230.0,883171950507.0,28625780308.0,4374053523.0,918798496568.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 23.1 và 23.3),315.575.400,528.707.669.851,2.834.800.000,-,531.858.045.251,315575400.0,528707669851.0,2834800000.0,,531858045251.0
