row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmmáy tính,Khác,VNDTổng cộng,numeric__Quyềnsử dụng đất,numeric__Phần mềmmáy tính,numeric__Khác,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,39.790.252.840,18.006.117.608,1.216.005.358,59.012.375.806,39790252840.0,18006117608.0,1216005358.0,59012375806.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,1.304.650.000,-,1.304.650.000,,1304650000.0,,1304650000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,39.790.252.840,19.310.767.608,1.216.005.358,60.317.025.806,39790252840.0,19310767608.0,1216005358.0,60317025806.0
Trong đó:Đã hao mòn hết,Nguyên giá > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,6.244.885.849,1.216.005.358,7.460.891.207,,6244885849.0,1216005358.0,7460891207.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,8.133.108.576,1.216.005.358,9.349.113.934,,8133108576.0,1216005358.0,9349113934.0
Hao mòntrong năm,Giá trị hao mòn lũy kế > Hao mòntrong năm,Hao mòntrong năm,-,3.591.990.539,-,3.591.990.539,,3591990539.0,,3591990539.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,11.725.099.115,1.216.005.358,12.941.104.473,,11725099115.0,1216005358.0,12941104473.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,39.790.252.840,9.873.009.032,-,49.663.261.872,39790252840.0,9873009032.0,,49663261872.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,39.790.252.840,7.585.668.493,-,47.375.921.333,39790252840.0,7585668493.0,,47375921333.0
Trong đó:Tài sânsử dụngđế thể chấp(Thuyết minhsố 23.1),Giá trị còn lại > Trong đó:Tài sânsử dụngđế thể chấp(Thuyết minhsố 23.1),Trong đó:Tài sânsử dụngđế thể chấp(Thuyết minhsố 23.1),4.500.924.600,-,-,4.500.924.600,4500924600.0,,,4500924600.0
