row_label_raw,row_label_full,col_0,Hoạt động sản xuất và bán điện VND,Hoạt động xây lắp VND,Hoạt động cung cấp dịch vụ VND,Loại trừ VND,Tổng cộng VND,numeric__Hoạt động sản xuất và bán điện VND,numeric__Hoạt động xây lắp VND,numeric__Hoạt động cung cấp dịch vụ VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu > Bán hàng và cung cấp dịch vụ ra bên ngoài,Bán hàng và cung cấp dịch vụ ra bên ngoài,484.472.843.901,32.823.441.537,21.803.846.879,-,539.100.132.317,484472843901.0,32823441537.0,21803846879.0,,539100132317.0
Trong nội bộ Tập đoàn,Doanh thu > Trong nội bộ Tập đoàn,Trong nội bộ Tập đoàn,1.234.407.576,2.078.366.272,10.217.854.552,(13.530.628.400),-,1234407576.0,2078366272.0,10217854552.0,-13530628400.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,485.707.251.477,34.901.807.809,32.021.701.431,(13.530.628.400),539.100.132.317,485707251477.0,34901807809.0,32021701431.0,-13530628400.0,539100132317.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Lợi nhuận gộp của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,300.887.074.757,4.071.275.412,6.627.407.528,218.274.408,311.804.032.105(66.013.944.742),300887074757.0,4071275412.0,6627407528.0,218274408.0,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,17.993.340.549(24.627.342.830),,,,,
Doanh thu hoạt động tài chính,Chi phí không phân bổ > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,(8.719.240.618),,,,,-8719240618.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,230.436.844.464(21.417.063.799),,,,,
Lỗ khác,Chi phí tài chính > Lỗ khác,Lỗ khác,,,,,281.412.530,,,,,281412530.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,,,,,
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,,,
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,,,,,,
Lợi nhuận sau thuế TNDN,Thu nhập thuế TNDN hoãn lại > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,209.301.193.195,,,,,209301193195.0
