row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_4,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_4
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,,
Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai,Bên liên quan > Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai,Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,3.171.000.000,-,,,3171000000.0,
Công ty TNHH MTV Thành Thành Công Gia Lai,Bên liên quan > Công ty TNHH MTV Thành Thành Công Gia Lai,Công ty TNHH MTV Thành Thành Công Gia Lai,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,805.000.000,-,,,805000000.0,
Công ty TNHH MTV KTCT Thủy lợi Gia Lai,Bên liên quan > Công ty TNHH MTV KTCT Thủy lợi Gia Lai,Công ty TNHH MTV KTCT Thủy lợi Gia Lai,Bên liên quan khác,Mua dịch vụ,669.276.744,-,,,669276744.0,
Công ty Cổ phần Đầu tư Năng lượng Xanh TTC,Bên liên quan > Công ty Cổ phần Đầu tư Năng lượng Xanh TTC,Công ty Cổ phần Đầu tư Năng lượng Xanh TTC,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,1.438.998.762,-,,,1438998762.0,
Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Hotel Premium - Phan Thiết,Bên liên quan > Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Hotel Premium - Phan Thiết,Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Hotel Premium - Phan Thiết,Bên liên quan khác,Mua dịch vụ,6.672.727,-,,,6672727.0,
Công ty TNHH Nhiệt điện Ninh Hòa,Bên liên quan > Công ty TNHH Nhiệt điện Ninh Hòa,Công ty TNHH Nhiệt điện Ninh Hòa,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,34.360.818,-,,,34360818.0,
Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Palace Bình Thuận,Bên liên quan > Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Palace Bình Thuận,Chi Nhánh Công ty Cổ phần Du lịch Thắng Lợi - TTC Palace Bình Thuận,Bên liên quan khác,Mua dịch vụ,19.031.818,-,,,19031818.0,
Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Bên liên quan > Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Bên liên quan khác,Mua dịch vụ,402.000.000,-,,,402000000.0,
"Thu nhập của các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Bên liên quan > Thu nhập của các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Thu nhập của các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc",,Lương và các quyền lợi gộp khác,8.525.863.522,9.563.379.274,,,8525863522.0,9563379274.0
