row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Dự án điện mặt trời Hàm Phú 2,Dự án điện mặt trời Hàm Phú 2,Dự án điện mặt trời Hàm Phú 2,147.982.696.483,-,147982696483.0,
Dự án điện Đức Huệ 1 - Long An,Dự án điện Đức Huệ 1 - Long An,Dự án điện Đức Huệ 1 - Long An,49.861.097.907,-,49861097907.0,
Dự án điện mặt trời Hàm Phú 1,Dự án điện mặt trời Hàm Phú 1,Dự án điện mặt trời Hàm Phú 1,6.952.411.433,-,6952411433.0,
Dự án nâng cao hiệu suất phát điện nhà máy thủy điện Đắk Pi Hao 2,Dự án nâng cao hiệu suất phát điện nhà máy thủy điện Đắk Pi Hao 2,Dự án nâng cao hiệu suất phát điện nhà máy thủy điện Đắk Pi Hao 2,4.741.650.479,-,4741650479.0,
Dự án triển khai phần mềm ERP,Dự án triển khai phần mềm ERP,Dự án triển khai phần mềm ERP,2.493.159.189,-,2493159189.0,
Dự án hiện đại hoá xuống cơ khí Diên Phú,Dự án hiện đại hoá xuống cơ khí Diên Phú,Dự án hiện đại hoá xuống cơ khí Diên Phú,1.154.994.931,-,1154994931.0,
Dự án điện mặt trời Phong Điền - Huế,Dự án điện mặt trời Phong Điền - Huế,Dự án điện mặt trời Phong Điền - Huế,-,1.021.475.172,,1021475172.0
Dự án điện mặt trời Krong Pa - Gia Lai,Dự án điện mặt trời Krong Pa - Gia Lai,Dự án điện mặt trời Krong Pa - Gia Lai,-,8.099.921.229,,8099921229.0
Dự án điện mặt trời Bình Thuận,Dự án điện mặt trời Bình Thuận,Dự án điện mặt trời Bình Thuận,-,6.781.431.865,,6781431865.0
Khác,Khác,Khác,2.577.231.679,2.143.038.443,2577231679.0,2143038443.0
,,,215.763.242.101,18.045.866.709,215763242101.0,18045866709.0
