row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Doanh thu bán hàng và cung cấp dịch vụ,1.261.913.098,-,,,1261913098.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,"Mua hàng hóa, dịch vụ",39.000.670.651,3.711.873.285,,,39000670651.0,3711873285.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Ứng trước tiền mua hàng,1.238.725.000,-,,,1238725000.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Lãi chậm thanh toán,-,1.153.041.862,,,,1153041862.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Mua tài sản cố định,-,959.770.939,,,,959770939.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Chỉ phí chỉ hộ,49.999.998,-,,,49999998.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Góp vốn,78.780.000.000,-,,,78780000000.0,
Công ty Cổ phần Xuất Nhập khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Việt Nam),Công ty Cổ phần Xuất Nhập khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Việt Nam),Công ty Cổ phần Xuất Nhập khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Việt Nam),Cổ đông,"Mua hàng hóa, dịch vụ",12.040.000,-,,,12040000.0,
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bên liên quan khác,Doanh thu bán điện,371.036.450.163,389.565.355.698,,,371036450163.0,389565355698.0
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bên liên quan khác,Cổ tức đã công bố,2.400.000.000,1.980.000.000,,,2400000000.0,1980000000.0
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bên liên quan khác,Khác,2.140.363.499,-,,,2140363499.0,
Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Bên liên quan khác,Cho vay,-,30.000.000.000,,,,30000000000.0
Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Bên liên quan khác,Thu hồi khoản cho vay,-,30.000.000.000,,,,30000000000.0
Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Bên liên quan khác,Lãi cho vay,-,1.844.250.001,,,,1844250001.0
