row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_4,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_4
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,,
Công ty Cổ phần Đường Biên Hòa – Ninh Hòa,Bên liên quan > Công ty Cổ phần Đường Biên Hòa – Ninh Hòa,Công ty Cổ phần Đường Biên Hòa – Ninh Hòa,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,830.152.728,642.432.000,,,830152728.0,642432000.0
Công ty Cổ phần Điện Gió Mê Kông,Bên liên quan > Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụCho vayLãi cho vayThu hồi khoản cho vay,141.272.7281.800.000.00012.180.8221.800.000.000,---------,,,1.4127272818e+36,
Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan > Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan khác,Mua dịch vụ,405.748.008,172.345.456,,,405748008.0,172345456.0
Công ty Cổ phần In Thanh Niên,Bên liên quan > Công ty Cổ phần In Thanh Niên,Công ty Cổ phần In Thanh Niên,Bên liên quan khác,Mua dịch vụ,97.381.091,-,,,97381091.0,
Công ty Cổ phần Thành Thành Nam,Bên liên quan > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Bên liên quan khác,Mua hàng hóa dịch vụĐặt cọc tiền thuê văn phòng,2.150.135.247-,1.162.356.286498.204.382,,,,1.1623562864982044e+18
Công ty Cổ phần Đường Biên Hòa - Phan Rang,Bên liên quan > Công ty Cổ phần Đường Biên Hòa - Phan Rang,Công ty Cổ phần Đường Biên Hòa - Phan Rang,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,476.400.000,-,,,476400000.0,
Công ty Cổ phần Đường Biên Hòa,Bên liên quan > Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,-,210.242.000,,,,210242000.0
Công ty Cổ Phần Đường Nước Trong,Bên liên quan > Công ty Cổ Phần Đường Nước Trong,Công ty Cổ Phần Đường Nước Trong,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,1.300.000.000,-,,,1300000000.0,
