row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyền dẫnVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền dẫnVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,887.332.696.943,529.547.762.731,147.912.289.478,9.216.952.573,60.913.550.598,1.634.923.252.323,887332696943.0,529547762731.0,147912289478.0,9216952573.0,60913550598.0,1634923252323.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,3.166.817.817,1.616.784.600,-,1.653.044.937,1.231.627.228,7.668.274.582,3166817817.0,1616784600.0,,1653044937.0,1231627228.0,7668274582.0
Xây dựng cơ bản mới hoàn thành,Nguyên giá > Xây dựng cơ bản mới hoàn thành,Xây dựng cơ bản mới hoàn thành,102.111.678.139,1.577.344.236.371,667.785.764,25.544.152.954,145.796.821.262,1.851.464.674.490,102111678139.0,1577344236371.0,667785764.0,25544152954.0,145796821262.0,1851464674490.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,939.582.567,-,-,-,939.582.567,,939582567.0,,,,939582567.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(404.524.082),(470.583.637),-,-,(875.107.719),,-404524082.0,-470583637.0,,,-875107719.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,992.611.192.899,2.109.043.842.187,148.109.491.605,36.414.150.464,207.941.999.088,3.494.120.676.243,992611192899.0,2109043842187.0,148109491605.0,36414150464.0,207941999088.0,3494120676243.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,241.993.280.668,189.113.363.143,60.506.627.859,2.778.958.358,33.093.746.030,527.485.976.058,241993280668.0,189113363143.0,60506627859.0,2778958358.0,33093746030.0,527485976058.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,39.390.910.228,30.104.653.186,6.491.293.011,1.637.071.991,18.168.403.459,95.792.331.875,39390910228.0,30104653186.0,6491293011.0,1637071991.0,18168403459.0,95792331875.0
Giảm khác,Khấu hao lũy kế > Giảm khác,Giảm khác,-,(92.705.550),(300.018.159),-,-,(392.723.709),,-92705550.0,-300018159.0,,,-392723709.0
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,281.384.190.896,219.125.310.779,66.697.902.711,4.416.030.349,51.262.149.489,622.885.584.224,281384190896.0,219125310779.0,66697902711.0,4416030349.0,51262149489.0,622885584224.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,645.339.416.275,340.434.399.588,87.405.661.619,6.437.994.215,27.819.804.568,1.107.437.276.265,645339416275.0,340434399588.0,87405661619.0,6437994215.0,27819804568.0,1107437276265.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,711.227.002.003,1.889.918.531.408,81.411.588.894,31.998.120.115,156.679.849.599,2.871.235.092.019,711227002003.0,1889918531408.0,81411588894.0,31998120115.0,156679849599.0,2871235092019.0
