row_label_raw,row_label_full,Bên liên quan (Thuyết minh 35(b)),Tại ngày1.1.2018VND > Bên liên quan (Thuyết minh 35(b)),Chỉ cho vay/Phân loại lạiVND > Bên liên quan (Thuyết minh 35(b)),Thu hồi nợ vay/xóa sốVND > Bên liên quan (Thuyết minh 35(b)),Tại ngày31.12.2018VND > Bên liên quan (Thuyết minh 35(b)),numeric__Tại ngày1.1.2018VND > Bên liên quan (Thuyết minh 35(b)),numeric__Chỉ cho vay/Phân loại lạiVND > Bên liên quan (Thuyết minh 35(b)),numeric__Thu hồi nợ vay/xóa sốVND > Bên liên quan (Thuyết minh 35(b)),numeric__Tại ngày31.12.2018VND > Bên liên quan (Thuyết minh 35(b))
Công ty Cổ phần Sản xuất Thương mại,Công ty Cổ phần Sản xuất Thương mại,Công ty Cổ phần Sản xuất Thương mại,,,,,,,,
Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại > Tâm Bình An,Tâm Bình An,38.000.000.000,20.000.000.000,(58.000.000.000),-,38000000000.0,20000000000.0,-58000000000.0,
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Sản xuất Thương mại > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,32.000.000.000,-,(32.000.000.000),-,32000000000.0,,-32000000000.0,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Sản xuất Thương mại > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,23.500.000.000,-,(23.500.000.000),-,23500000000.0,,-23500000000.0,
Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Sản xuất Thương mại > Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,-,1.800.000.000,(1.800.000.000),-,,1800000000.0,-1800000000.0,
,,,93.500.000.000,21.800.000.000,(115.300.000.000),-,93500000000.0,21800000000.0,-115300000000.0,
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,Bên thứ ba > Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,343.858.552,-,(343.858.552),-,343858552.0,,-343858552.0,
,,,93.843.858.552,21.800.000.000,(115.643.858.552),-,93843858552.0,21800000000.0,-115643858552.0,
