row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5)_1,numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5)_1
Cổ đông,Cổ đông,Cổ đông,Cổ đông,Cổ đông,,
Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,873.903.324,-,873903324.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Tổng Công ty Điện lực Miền Trung,Bên liên quan khác > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,38.744.337.198,63.527.729.737,38744337198.0,63527729737.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan khác > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,21.381.608.303,-,21381608303.0,
Công ty Cổ phần Đường Biên Hòa- Đồng Nai,Bên liên quan khác > Công ty Cổ phần Đường Biên Hòa- Đồng Nai,Công ty Cổ phần Đường Biên Hòa- Đồng Nai,286.440.000,-,286440000.0,
Công ty TNHH Một thành viên Đường Biên Hòa -Ninh Hòa,Bên liên quan khác > Công ty TNHH Một thành viên Đường Biên Hòa -Ninh Hòa,Công ty TNHH Một thành viên Đường Biên Hòa -Ninh Hòa,181.728.000,494.672.640,181728000.0,494672640.0
Công ty Cổ phần Du lịch TTC - CN Cần Thơ,Bên liên quan khác > Công ty Cổ phần Du lịch TTC - CN Cần Thơ,Công ty Cổ phần Du lịch TTC - CN Cần Thơ,100.000.000,-,100000000.0,
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Bên liên quan khác > Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,27.801.000,-,27801000.0,
Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan khác > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,-,150.000.000,,150000000.0
,,,61.595.817.825,64.172.402.377,61595817825.0,64172402377.0
Trà trước cho người bán ngắn hạn (Thuyết minh 6),Trà trước cho người bán ngắn hạn (Thuyết minh 6),Trà trước cho người bán ngắn hạn (Thuyết minh 6),Trà trước cho người bán ngắn hạn (Thuyết minh 6),Trà trước cho người bán ngắn hạn (Thuyết minh 6),,
Cổ đông,Cổ đông,Cổ đông,Cổ đông,Cổ đông,,
Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,1.238.725.000,-,1238725000.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan khác > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,-,43.000.000.000,,43000000000.0
,,,1.238.725.000,43.000.000.000,1238725000.0,43000000000.0
Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),Phải thu về cho vay ngắn hạn (Thuyết minh 7),,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Bên liên quan khác > Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,-,38.000.000.000,,38000000000.0
Công ty Cổ phần Lộc Thổ,Bên liên quan khác > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,-,32.000.000.000,,32000000000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan khác > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,-,23.500.000.000,,23500000000.0
,,,-,93.500.000.000,,93500000000.0
