row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,744.903.390.000,1.980.358.653,49.052.343.723,168.385.738.484(148.979.850.000),186.360.782.795,1.150.682.613.655,744903390000.0,1980358653.0,49052343723.0,,186360782795.0,1150682613655.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,148.979.850.000,-,-,168.385.738.484(148.979.850.000),-,-,148979850000.0,,,,,
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,77.029.510.000,26.960.328.500,-,-,-,103.989.838.500,77029510000.0,26960328500.0,,,,103989838500.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,153.768.995.113(14.690.600.847),55.532.198.082,209.301.193.195,,,,,55532198082.0,209301193195.0
Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,-,-,14.690.600.847,(12.110.449.304),(2.441.319.327),(14.551.768.631),,,14690600847.0,-12110449304.0,-2441319327.0,-14551768631.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(12.110.449.304),(2.441.319.327),(14.551.768.631),,,,-12110449304.0,-2441319327.0,-14551768631.0
Giảm do thay đổi tỷ lệ sở hữu trong công ty con,Giảm do thay đổi tỷ lệ sở hữu trong công ty con,Giảm do thay đổi tỷ lệ sở hữu trong công ty con,-,-,(7.395.043.579),(26.362.331.003),(69.138.714.592),(102.896.089.174),,,-7395043579.0,-26362331003.0,-69138714592.0,-102896089174.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(29.508.840.780),(29.508.840.780),,,,,-29508840780.0,-29508840780.0
Gớp vốn từ cổ đông không kiểm soát,Gớp vốn từ cổ đông không kiểm soát,Gớp vốn từ cổ đông không kiểm soát,-,-,-,-,1.000.000.000,1.000.000.000,,,,,1000000000.0,1000000000.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,970.912.750.000,28.940.687.153,56.347.900.991,120.011.502.443,141.804.106.178,1.318.016.946.765,970912750000.0,28940687153.0,56347900991.0,120011502443.0,141804106178.0,1318016946765.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,970.912.750.000,23.048.000,-,-,-,970.935.798.000,970912750000.0,23048000.0,,,,970935798000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,144.693.225.170(7.752.056.298),42.573.505.503,187.266.730.673,,,,,42573505503.0,187266730673.0
Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,-,-,7.752.056.298,(13.371.829.266),(2.128.916.340),(15.500.745.606),,,7752056298.0,-13371829266.0,-2128916340.0,-15500745606.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(13.371.829.266),(2.128.916.340),(15.500.745.606),,,,-13371829266.0,-2128916340.0,-15500745606.0
Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,-,-,-,(100.494),100.494,-,,,,-100494.0,100494.0,
Gớp vốn từ cổ đông không kiểm soát,Gớp vốn từ cổ đông không kiểm soát,Gớp vốn từ cổ đông không kiểm soát,-,-,-,-,78.880.000.000,78.880.000.000,,,,,78880000000.0,78880000000.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(97.091.275.000),(34.572.144.000),(131.663.419.000),,,,-97091275000.0,-34572144000.0,-131663419000.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,(3.131.848.242),(1.404.942.096),4.536.790.338,-,,,-3131848242.0,-1404942096.0,4536790338.0,
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,1.941.825.500.000,28.963.735.153,60.968.109.047,145.084.524.459,231.093.442.173,2.407.935.310.832,1941825500000.0,28963735153.0,60968109047.0,145084524459.0,231093442173.0,2407935310832.0
