row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá trị,Số đầu năm > Dự phòng VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng VND
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,16.463.909.157,-,5.833.879.243,-,16463909157.0,,5833879243.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",6.025.400.697,-,260.790.000,-,6025400697.0,,260790000.0,
Lãi phải thu,Lãi phải thu,Lãi phải thu,5.981.957.931,-,815.846.709,(11.028.732),5981957931.0,,815846709.0,-11028732.0
Khác,Khác,Khác,4.378.191.457,-,2.651.940.041,-,4378191457.0,,2651940041.0,
,,,32.849.459.242,-,9.562.455.993,(11.028.732),32849459242.0,,9562455993.0,-11028732.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,,,
Bên thứ ba,Trong đó > Bên thứ ba,Bên thứ ba,29.192.055.980,-,7.830.127.185,(11.028.732),29192055980.0,,7830127185.0,-11028732.0
Bên liên quan(Thuyết minh 35(b)),Trong đó > Bên liên quan(Thuyết minh 35(b)),Bên liên quan(Thuyết minh 35(b)),3.657.403.262,-,1.732.328.808,-,3657403262.0,,1732328808.0,
,,,32.849.459.242,-,9.562.455.993,(11.028.732),32849459242.0,,9562455993.0,-11028732.0
