row_label_raw,row_label_full,col_0,Tại ngày1.1.2018VND,TăngVND,GiảmVND,Phân loại lạiVND,Tại ngày31.12.2018VND,numeric__Tại ngày1.1.2018VND,numeric__TăngVND,numeric__GiảmVND,numeric__Phân loại lạiVND,numeric__Tại ngày31.12.2018VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),232.245.575.182,947.741.544.637,-,(41.284.000.000),1.138.703.119.819,232245575182.0,947741544637.0,,-41284000000.0,1138703119819.0
Phát hành trái phiếu (**),Phát hành trái phiếu (**),Phát hành trái phiếu (**),-,300.000.000.000,-,(15.000.000.000),285.000.000.000,,300000000000.0,,-15000000000.0,285000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(3.690.000.000),184.500.000,-,(3.505.500.000),,-3690000000.0,184500000.0,,-3505500000.0
Vay khác,Vay khác,Vay khác,138.494.999,-,-,(80.835.000),57.659.999,138494999.0,,,-80835000.0,57659999.0
,,,232.384.070.181,1.244.051.544.637,184.500.000,(56.364.835.000),1.420.255.279.818,232384070181.0,1244051544637.0,184500000.0,-56364835000.0,1420255279818.0
(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau:,,,,,
,,,Số cuối nămVND,Mục đích vay,,Kỳ hạn trả gốc,Lãi suất và tài sản thể chấp,,,,,
Vietcombank - Chi nhánh Gia Lai,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Vietcombank - Chi nhánh Gia Lai,Vietcombank - Chi nhánh Gia Lai,98.024.000.000,Hoàn vốn đầu tư các nhà máy thủy điện,,Đến tháng 10 năm 2022,(i),98024000000.0,,,,
Vietcombank - Chi nhánh Gia Lai,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Vietcombank - Chi nhánh Gia Lai,Vietcombank - Chi nhánh Gia Lai,56.350.000.000,Đầu tư vào dự án nhà máy thủy điện Ayun Thượng 1A,,Đến tháng 12 năm 2021,(ii),56350000000.0,,,,
Vietcombank - Chi nhánh Gia Lai,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Vietcombank - Chi nhánh Gia Lai,Vietcombank - Chi nhánh Gia Lai,531.009.004.637,Đầu tư vào dự án nhà máy điện mặt trời Krong Pa,,Đến tháng 11 năm 2030,(iii),531009004637.0,,,,
Agribank - Chi nhánh Gia Lai,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Agribank - Chi nhánh Gia Lai,Agribank - Chi nhánh Gia Lai,415.498.000.000,Đầu tư vào dự án nhà máy điện mặt trời Phong Điền,,Đến tháng 9 năm 2029,(iv),415498000000.0,,,,
VietinBank - Chi nhánh Gia Lai,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > VietinBank - Chi nhánh Gia Lai,VietinBank - Chi nhánh Gia Lai,4.626.000.000,Dự án Hiện đại hoá xưởng cơ khí Diện Phú,,Đến tháng 7 năm 2022,(v),4626000000.0,,,,
VietinBank - Chi nhánh 1 Hồ Chí Minh,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > VietinBank - Chi nhánh 1 Hồ Chí Minh,VietinBank - Chi nhánh 1 Hồ Chí Minh,5.732.000.000,Đầu tư vào dự án nhà máy thủy điện Kênh Bắc – Ayun Hạ,,Từ tháng 9 năm 2015 đến tháng6 năm 2022,(vi),5732000000.0,,,,
VietinBank - Chi nhánh 1 Hồ Chí Minh,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > VietinBank - Chi nhánh 1 Hồ Chí Minh,VietinBank - Chi nhánh 1 Hồ Chí Minh,62.780.115.182,Đầu tư vào dự án nhà máy thủy điện của Thượng Lộ,,Đến ngày 25 tháng 1 năm 2026,(vii),62780115182.0,,,,
,,,1.174.019.119.819(35.316.000.000),,,,,,,,,
Đáo hạn trong vòng 1 năm,(*) Chi tiết số dư cuối năm của các khoản vay ngân hàng dài hạn như sau: > Đáo hạn trong vòng 1 năm,Đáo hạn trong vòng 1 năm,1.138.703.119.819,,,,,1138703119819.0,,,,
