row_label_raw,row_label_full,Phải thu ngắn hạn khác (Thuyết minh 8(a)),Số cuối năm VND > Phải thu ngắn hạn khác (Thuyết minh 8(a)),Số đầu năm VND > Phải thu ngắn hạn khác (Thuyết minh 8(a)),numeric__Số cuối năm VND > Phải thu ngắn hạn khác (Thuyết minh 8(a)),numeric__Số đầu năm VND > Phải thu ngắn hạn khác (Thuyết minh 8(a))
Cổ đông,Cổ đông,Cổ đông,Cổ đông,Cổ đông,,
Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,74.987.498,80.104.604,74987498.0,80104604.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Tổng Công ty Điện lực Miền Trung,Bên liên quan khác > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,3.367.615.868,-,3367615868.0,
Cá nhân khác,Bên liên quan khác > Cá nhân khác,Cá nhân khác,80.000.000,-,80000000.0,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan khác > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,62.509.896,55.638.122,62509896.0,55638122.0
Công ty Cổ phần Điện Gió Mè Kông,Bên liên quan khác > Công ty Cổ phần Điện Gió Mè Kông,Công ty Cổ phần Điện Gió Mè Kông,38.850.000,-,38850000.0,
Công ty Cổ phần Năng lượng TTC,Bên liên quan khác > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,33.440.000,278.840.248,33440000.0,278840248.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan khác > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,-,559.412.500,,559412500.0
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Bên liên quan khác > Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,-,327.222.222,,327222222.0
Công ty Cổ phần Lộc Thổ,Bên liên quan khác > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,-,275.555.556,,275555556.0
Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Bên liên quan khác > Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,-,155.555.556,,155555556.0
,,,3.657.403.262,1.732.328.808,3657403262.0,1732328808.0
Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b)),Phải thu dài hạn khác (Thuyết minh 8(b)),,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Thành Thành Nam,Bên liên quan khác > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,498.204.382,498.204.382,498204382.0,498204382.0
Phải trả người bán ngắn hạn (Thuyết minh 15),Phải trả người bán ngắn hạn (Thuyết minh 15),Phải trả người bán ngắn hạn (Thuyết minh 15),Phải trả người bán ngắn hạn (Thuyết minh 15),Phải trả người bán ngắn hạn (Thuyết minh 15),,
Cổ đông,Cổ đông,Cổ đông,Cổ đông,Cổ đông,,
Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,12.816.612.422,4.108.569.869,12816612422.0,4108569869.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Trường Phú,Bên liên quan khác > Công ty Cổ phần Trường Phú,Công ty Cổ phần Trường Phú,1.379.200.000,504.000.000,1379200000.0,504000000.0
Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan khác > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,183.212.000,687.572.430,183212000.0,687572430.0
Công ty Cổ phần Năng lượng TTC,Bên liên quan khác > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,65.608.994,-,65608994.0,
Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan khác > Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,48.809.000,-,48809000.0,
Công ty Cổ phần Thành Thành Nam,Bên liên quan khác > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,14.785.600,24.889.920,14785600.0,24889920.0
Công ty Cổ phần Mía đường Thành Thành Công Tây Ninh,Bên liên quan khác > Công ty Cổ phần Mía đường Thành Thành Công Tây Ninh,Công ty Cổ phần Mía đường Thành Thành Công Tây Ninh,-,333.250.000,,333250000.0
,,,14.508.228.016,5.658.282.219,14508228016.0,5658282219.0
