row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,,
Ngày 31 tháng 12 năm 2019,Nguyên giả > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,499.979,765.533,249.771,46.534,514.131,2.075.948,499979.0,765533.0,249771.0,46534.0,514131.0,2075948.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,2.644,33.458,1.132,906,28.263,66.403,2644.0,33458.0,1132.0,906.0,28263.0,66403.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.709),(259),(10.650),(129),(34.059),(46.806),-1709.0,-259.0,-10650.0,-129.0,-34059.0,-46806.0
Ngày 31 tháng 12 năm 2020,Nguyên giả > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,500.914,798.732,240.253,47.311,508.335,2.095.545,500914.0,798732.0,240253.0,47311.0,508335.0,2095545.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Ngày 31 tháng 12 năm 2019,Giá trị hao mòn luỹ kế > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,77.671,546.030,192.464,41.293,414.350,1.271.808,77671.0,546030.0,192464.0,41293.0,414350.0,1271808.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,13.234,53.516,12.649,2.174,33.302,114.875,13234.0,53516.0,12649.0,2174.0,33302.0,114875.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.440),(259),(9.985),(129),(31.143),(42.956),-1440.0,-259.0,-9985.0,-129.0,-31143.0,-42956.0
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn luỹ kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,89.465,599.287,195.128,43.338,416.509,1.343.727,89465.0,599287.0,195128.0,43338.0,416509.0,1343727.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Ngày 31 tháng 12 năm 2019,Giá trị còn lại > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,422.308,219.503,57.307,5.241,99.781,804.140,422308.0,219503.0,57307.0,5241.0,99781.0,804140.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,411.449,199.445,45.125,3.973,91.826,751.818,411449.0,199445.0,45125.0,3973.0,91826.0,751818.0
