row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Giá trị vàng tiền tệđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Giá trị vàng tiền tệđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,88.075,463.820,232.955,347.417,1.132.267,88075.0,463820.0,232955.0,347417.0,1132267.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,472.839,-,-,472.839,,472839.0,,,472839.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,117.904,7.996.330,-,850.582,8.964.816,117904.0,7996330.0,,850582.0,8964816.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,36.820,9.831.535,20.658,-,9.889.013,36820.0,9831535.0,20658.0,,9889013.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,238,16.812,414,102,17.566,238.0,16812.0,414.0,102.0,17566.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,243.037,18.781.336,254.027,1.198.101,20.476.501,243037.0,18781336.0,254027.0,1198101.0,20476501.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,36,3.165.028,-,492.726,3.657.790,36.0,3165028.0,,492726.0,3657790.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,235.436,5.163.515,-,518.361,5.917.312,235436.0,5163515.0,,518361.0,5917312.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(17),11.724.471,-,96.321,11.820.775,-17.0,11724471.0,,96321.0,11820775.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,3.101,206.986,-,8.621,218.708,3101.0,206986.0,,8621.0,218708.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,238.556,20.260.000,-,1.116.029,21.614.585,238556.0,20260000.0,,1116029.0,21614585.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,4.481,(1.478.664),254.027,82.072,(1.138.084),4481.0,-1478664.0,254027.0,82072.0,-1138084.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,(2.843),128.378,(13.398),(79.551),32.586,-2843.0,128378.0,-13398.0,-79551.0,32586.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",1.638,(1.350.286),240.629,2.521,(1.105.498),1638.0,-1350286.0,240629.0,2521.0,-1105498.0
