row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.339.526,1.095.249,1339526.0,1095249.0
Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng và công ty con,Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng và công ty con,Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng và công ty con,267.905,219.050,267905.0,219050.0
Các khoản điều chỉnh giảm: (*),Các khoản điều chỉnh giảm: (*),Các khoản điều chỉnh giảm: (*),,,,
- Thu nhập từ cổ tức không chịu thuế,Các khoản điều chỉnh giảm: (*) > - Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,(625),(807),-625.0,-807.0
- Thu nhập khác không chịu thuế,Các khoản điều chỉnh giảm: (*) > - Thu nhập khác không chịu thuế,- Thu nhập khác không chịu thuế,(1.545),-,-1545.0,
Các khoản điều chỉnh tăng: (*),Các khoản điều chỉnh tăng: (*),Các khoản điều chỉnh tăng: (*),,,,
- Chi phí không được trừ,Các khoản điều chỉnh tăng: (*) > - Chi phí không được trừ,- Chi phí không được trừ,2.005,667,2005.0,667.0
Điều chỉnh do hợp nhất báo cáo tài chính,Các khoản điều chỉnh tăng: (*) > Điều chỉnh do hợp nhất báo cáo tài chính,Điều chỉnh do hợp nhất báo cáo tài chính,1.560,(298),1560.0,-298.0
Điều chỉnh khác,Các khoản điều chỉnh tăng: (*) > Điều chỉnh khác,Điều chỉnh khác,1.661,10.505,1661.0,10505.0
Chi phí thuế TNDN ước tính trong năm,Các khoản điều chỉnh tăng: (*) > Chi phí thuế TNDN ước tính trong năm,Chi phí thuế TNDN ước tính trong năm,270.961,229.117,270961.0,229117.0
Chi phí thuế TNDN được giảm (**),Các khoản điều chỉnh tăng: (*) > Chi phí thuế TNDN được giảm (**),Chi phí thuế TNDN được giảm (**),(1.616),-,-1616.0,
Chi phí thuế TNDN ước tính trong năm,Các khoản điều chỉnh tăng: (*) > Chi phí thuế TNDN ước tính trong năm,Chi phí thuế TNDN ước tính trong năm,269.345,229.117,269345.0,229117.0
