row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nayTriệu đồng,numeric__Chức vụ,numeric__Năm nayTriệu đồng
Ông Yasuhiro Saitoh,Ông Yasuhiro Saitoh,Ông Yasuhiro Saitoh,Chủ tịch,1.188,,1188.0
Ông Nguyễn Quang Thông,Ông Nguyễn Quang Thông,Ông Nguyễn Quang Thông,Phó Chủ tịch,1.188,,1188.0
Ông Lê Minh Quốc,Ông Lê Minh Quốc,Ông Lê Minh Quốc,Thành viên độc lập,1.188,,1188.0
Ông Cao Xuân Ninh,Ông Cao Xuân Ninh,Ông Cao Xuân Ninh,Thành viên,1.188,,1188.0
Ông Đặng Anh Mai,Ông Đặng Anh Mai,Ông Đặng Anh Mai,Thành viên,-,,
Ông Hoàng Tuấn Khải,Ông Hoàng Tuấn Khải,Ông Hoàng Tuấn Khải,Thành viên,-,,
Ông Ngô Thanh Tùng,Ông Hoàng Tuấn Khải > Ông Ngô Thanh Tùng,Ông Ngô Thanh Tùng,Thành viên,1.188,,1188.0
Ông Lê Văn Quyết,Ông Lê Văn Quyết,Ông Lê Văn Quyết,Thành viên,-,,
Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Thành viên,-,,
Tổng cộng (*),Bà Lương Thị Cẩm Tú > Tổng cộng (*),Tổng cộng (*),,5.940,,5940.0
