row_label_raw,row_label_full,col_0,Giá trị ghi số > Kinh doanhTriệu đồng,Giá trị ghi số > Giữ đếngày đáo hạnTriệu đồng,Giá trị ghi số > Cho vay vàphải thuTriệu đồng,Giá trị ghi số > Sản sàngđể bánTriệu đồng,Giá trị ghi số > Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,Giá trị ghi số > Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị ghi số > Giá trị hợp lýTriệu đồng,numeric__Giá trị ghi số > Kinh doanhTriệu đồng,numeric__Giá trị ghi số > Giữ đếngày đáo hạnTriệu đồng,numeric__Giá trị ghi số > Cho vay vàphải thuTriệu đồng,numeric__Giá trị ghi số > Sản sàngđể bánTriệu đồng,numeric__Giá trị ghi số > Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,numeric__Giá trị ghi số > Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị ghi số > Giá trị hợp lýTriệu đồng
Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,,,,,,,
Tiền mặt và vàng,Tải sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,-,2.073.126,2.073.126,2.073.126,,,,,2073126.0,2073126.0,2073126.0
Tiền gửi tại NHNN Việt Nam,Tải sản tài chính > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,-,-,3.910.391,3.910.391,3.910.391,,,,,3910391.0,3910391.0,3910391.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,32.378.350,32.378.350,(*),,,,,32378350.0,32378350.0,
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tải sản tài chính > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,49.073,-,-,-,-,49.073,,49073.0,,,,,49073.0,
Cho vay khách hàng,Tải sản tài chính > Cho vay khách hàng,Cho vay khách hàng,-,-,99.487.571,-,-,99.487.571,(*),,,99487571.0,,,99487571.0,
Chứng khoán đầu tư,Tải sản tài chính > Chứng khoán đầu tư,Chứng khoán đầu tư,-,8.256.162,-,7.711.142,-,15.967.304,(*),,8256162.0,,7711142.0,,15967304.0,
Tài sản tài chính khác,Tải sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,2.392.142,-,-,2.392.142,(*),,,2392142.0,,,2392142.0,
,,,49.073,8.256.162,101.879.713,7.711.142,38.361.867,156.257.957,,49073.0,8256162.0,101879713.0,7711142.0,38361867.0,156257957.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả tài chính > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,-,33.805,33.805,(*),,,,,33805.0,33805.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,6.320.362,6.320.362,(*),,,,,6320362.0,6320362.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,133.917.740,133.917.740,(*),,,,,133917740.0,133917740.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,3.113.552,3.113.552,(*),,,,,3113552.0,3113552.0,
,,,-,-,-,-,143.385.459,143.385.459,,,,,,143385459.0,143385459.0,
