row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020,Ngày 31 tháng 12năm 2020_1,Ngày 31 tháng 12năm 2019,Ngày 31 tháng 12năm 2019_1,numeric__Ngày 31 tháng 12năm 2020,numeric__Ngày 31 tháng 12năm 2020_1,numeric__Ngày 31 tháng 12năm 2019,numeric__Ngày 31 tháng 12năm 2019_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,50.555.028,"50,17",54.692.202,"48,29",50555028.0,50.17,54692202.0,48.29
Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,33.062.299,"32,81",34.571.904,"30,53",33062299.0,32.81,34571904.0,30.53
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,11.502.641,"11,42",11.977.901,"10,58",11502641.0,11.42,11977901.0,10.58
Công ty nhà nước,Công ty nhà nước,Công ty nhà nước,2.875.731,"2,85",4.232.336,"3,74",2875731.0,2.85,4232336.0,3.74
"Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết, hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty","Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết, hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty","Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết, hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty",1.528.478,"1,52",1.728.793,"1,53",1528478.0,1.52,1728793.0,1.53
Công ty trách nhiệm hữu hạn 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,Công ty trách nhiệm hữu hạn 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,Công ty trách nhiệm hữu hạn 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,718.191,"0,71",896.683,"0,79",718191.0,0.71,896683.0,0.79
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,297.482,"0,30",751.868,"0,66",297482.0,0.3,751868.0,0.66
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,156.221,"0,16",99.420,"0,08",156221.0,0.16,99420.0,0.08
"Hợp tác xã và liên hiệp hợp tác xã Công ty trách nhiệm hữu hạn 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Hợp tác xã và liên hiệp hợp tác xã Công ty trách nhiệm hữu hạn 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Hợp tác xã và liên hiệp hợp tác xã Công ty trách nhiệm hữu hạn 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội",108.519,"0,11",121.580,"0,11",108519.0,0.11,121580.0,0.11
"Hợp tác xã và liên hiệp hợp tác xã Công ty trách nhiệm hữu hạn 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Hợp tác xã và liên hiệp hợp tác xã Công ty trách nhiệm hữu hạn 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội","Hợp tác xã và liên hiệp hợp tác xã Công ty trách nhiệm hữu hạn 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối Đơn vị hành chính sự nghiệp, đẳng, đoàn thể và hiệp hội",37.829,"0,04",44.244,"0,04",37829.0,0.04,44244.0,0.04
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,366,"0,00",603,"0,00",366.0,0.0,603.0,0.0
Khác,Khác,Khác,236.767,"0,22",228.025,"0,20",236767.0,0.22,228025.0,0.2
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,50.212.378,"49,83",58.562.590,"51,71",50212378.0,49.83,58562590.0,51.71
,,,100.767.406,"100,00",113.254.792,"100,00",100767406.0,100.0,113254792.0,100.0
