row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại IrừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại IrừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,3.021.529(2.504.334),2.054.176(1.719.683),22.924.777(20.462.729),28.000.482(24.686.746),(17.181.589)17.181.589,10.818.893(7.505.157),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,3.021.529(2.504.334),2.054.176(1.719.683),22.924.777(20.462.729),28.000.482(24.686.746),(17.181.589)17.181.589,10.818.893(7.505.157),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,517.195,334.493,2.462.048,3.313.736,-,3.313.736,517195.0,334493.0,2462048.0,3313736.0,,3313736.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,113.383,37.101,981.367,1.131.851,-,1.131.851,113383.0,37101.0,981367.0,1131851.0,,1131851.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,630.578,371.594,3.443.415,4.445.587,-,4.445.587,630578.0,371594.0,3443415.0,4445587.0,,4445587.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(316.730),(200.504),(1.921.450),(2.438.684),-,(2.438.684),-316730.0,-200504.0,-1921450.0,-2438684.0,,-2438684.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,313.848,171.090,1.521.965,2.006.903,-,2.006.903,313848.0,171090.0,1521965.0,2006903.0,,2006903.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(164.123),(164.151),(339.103),(667.377),-,(667.377),-164123.0,-164151.0,-339103.0,-667377.0,,-667377.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,149.725,6.939,1.182.862,1.339.526,-,1.339.526,149725.0,6939.0,1182862.0,1339526.0,,1339526.0
TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,,-,,,,,,,
