row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm2024,Ngày 31 tháng 12 năm2024_1,Ngày 31 tháng 12 năm2023,Ngày 31 tháng 12 năm2023_1,numeric__Ngày 31 tháng 12 năm2024,numeric__Ngày 31 tháng 12 năm2024_1,numeric__Ngày 31 tháng 12 năm2023,numeric__Ngày 31 tháng 12 năm2023_1
,,,triệu đồng,%,triệu đồng,%,,,,
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",629.627,"0,36",2.346.262,"1,60",629627.0,0.36,2346262.0,1.6
Khai khoáng,Khai khoáng,Khai khoáng,1.176.661,"0,67",332.646,"0,23",1176661.0,0.67,332646.0,0.23
Chế biến thủy hải sản,Chế biến thủy hải sản,Chế biến thủy hải sản,1.355.092,"0,78",1.427.864,"0,97",1355092.0,0.78,1427864.0,0.97
"Sản xuất, chế biến lương thực, thực phẩm,đồ uống, thức ăn chăn nuôi","Sản xuất, chế biến lương thực, thực phẩm,đồ uống, thức ăn chăn nuôi","Sản xuất, chế biến lương thực, thực phẩm,đồ uống, thức ăn chăn nuôi",2.295.490,"1,31",1.609.573,"1,10",2295490.0,1.31,1609573.0,1.1
"Dệt may, sản xuất da dày, sản xuất trangphục","Dệt may, sản xuất da dày, sản xuất trangphục","Dệt may, sản xuất da dày, sản xuất trangphục",1.445.539,"0,83",1.613.649,"1,10",1445539.0,0.83,1613649.0,1.1
"Khai thác và sơ chế gỗ, chế biến gỗ, sảnxuất sản phẩm từ gỗ và làm sản khác","Khai thác và sơ chế gỗ, chế biến gỗ, sảnxuất sản phẩm từ gỗ và làm sản khác","Khai thác và sơ chế gỗ, chế biến gỗ, sảnxuất sản phẩm từ gỗ và làm sản khác",1.910.169,"1,09",1.310.563,"0,89",1910169.0,1.09,1310563.0,0.89
Sản xuất giấy và các sản phẩm từ giấy và inấn,Sản xuất giấy và các sản phẩm từ giấy và inấn,Sản xuất giấy và các sản phẩm từ giấy và inấn,407.433,"0,23",1.357.596,"0,92",407433.0,0.23,1357596.0,0.92
"Sản xuất thuốc, hóa dược, dược liệu, caosu, nhựa, phân bón, hóa chất","Sản xuất thuốc, hóa dược, dược liệu, caosu, nhựa, phân bón, hóa chất","Sản xuất thuốc, hóa dược, dược liệu, caosu, nhựa, phân bón, hóa chất",2.797.289,"1,60",2.123.551,"1,44",2797289.0,1.6,2123551.0,1.44
"Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)","Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)","Sản xuất vật liệu xây dựng (trừ thép, Inox,sơn, matit và các chất tương tự)",3.202.064,"1,83",1.537.847,"1,05",3202064.0,1.83,1537847.0,1.05
Sản xuất thép thành phẩm,Sản xuất thép thành phẩm,Sản xuất thép thành phẩm,1.813.945,"1,04",295.669,"0,20",1813945.0,1.04,295669.0,0.2
Sản xuất phối thép,Sản xuất phối thép,Sản xuất phối thép,4.789,"0,00",17.276,"0,01",4789.0,0.0,17276.0,0.01
Sản xuất Inox và luyện kim khác,Sản xuất Inox và luyện kim khác,Sản xuất Inox và luyện kim khác,84.256,"0,05",49.198,"0,03",84256.0,0.05,49198.0,0.03
"Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xemáy","Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xemáy","Cơ khí, lắp ráp, chế tạo máy móc, ô tô, xemáy",3.913.479,"2,24",1.366.705,"0,93",3913479.0,2.24,1366705.0,0.93
"Sản xuất điện tử, thiết bị điện, máy vi tínhquang học, thiết bị viễn thông","Sản xuất điện tử, thiết bị điện, máy vi tínhquang học, thiết bị viễn thông","Sản xuất điện tử, thiết bị điện, máy vi tínhquang học, thiết bị viễn thông",7.270.865,"4,16",2.711.575,"1,84",7270865.0,4.16,2711575.0,1.84
"Đông tàu, thuyền","Đông tàu, thuyền","Đông tàu, thuyền",521,"0,00",3.382,"0,00",521.0,0.0,3382.0,0.0
"Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao","Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao","Sản xuất thiết bị văn phòng, đồ gia dụng,thiết bị y tế, giáo dục, thể dục thể thao",167.999,"0,10",41.335,"0,03",167999.0,0.1,41335.0,0.03
"Sản xuất và phân phối điện, năng lượng,cung cấp nước, hoạt động quản lý và xử lýrác thải, nước thải","Sản xuất và phân phối điện, năng lượng,cung cấp nước, hoạt động quản lý và xử lýrác thải, nước thải","Sản xuất và phân phối điện, năng lượng,cung cấp nước, hoạt động quản lý và xử lýrác thải, nước thải",5.083.131,"2,91",8.346.872,"5,68",5083131.0,2.91,8346872.0,5.68
Xây dựng,Xây dựng,Xây dựng,15.786.992,"9,04",13.105.715,"8,92",15786992.0,9.04,13105715.0,8.92
Thương mại hàng công nghiệp nhẹ và hàngtiêu dùng,Thương mại hàng công nghiệp nhẹ và hàngtiêu dùng,Thương mại hàng công nghiệp nhẹ và hàngtiêu dùng,19.990.140,"11,44",16.285.336,"11,08",19990140.0,11.44,16285336.0,11.08
"Kinh doanh phân bón, hóa chất, các sảnphẩm hóa chất khác, thuốc, hóa dược,dược liệu, thiết bị y tế","Kinh doanh phân bón, hóa chất, các sảnphẩm hóa chất khác, thuốc, hóa dược,dược liệu, thiết bị y tế","Kinh doanh phân bón, hóa chất, các sảnphẩm hóa chất khác, thuốc, hóa dược,dược liệu, thiết bị y tế",1.662.526,"0,95",1.086.396,"0,74",1662526.0,0.95,1086396.0,0.74
"Thương mại xăng, dầu, gas, khí đốt","Thương mại xăng, dầu, gas, khí đốt","Thương mại xăng, dầu, gas, khí đốt",1.737.040,"0,99",4.645.331,"3,16",1737040.0,0.99,4645331.0,3.16
"Kinh doanh sắt thép, xi măng, vật liệu xâydựng tổng hợp khác","Kinh doanh sắt thép, xi măng, vật liệu xâydựng tổng hợp khác","Kinh doanh sắt thép, xi măng, vật liệu xâydựng tổng hợp khác",13.463.100,"7,71",7.426.527,"5,05",13463100.0,7.71,7426527.0,5.05
Thương mại hàng công nghiệp nặng khác,Thương mại hàng công nghiệp nặng khác,Thương mại hàng công nghiệp nặng khác,3.817.147,"2,18",2.978.469,"2,03",3817147.0,2.18,2978469.0,2.03
Kinh doanh vận tải bộ và đường sông,Kinh doanh vận tải bộ và đường sông,Kinh doanh vận tải bộ và đường sông,4.370.573,"2,50",3.519.426,"2,39",4370573.0,2.5,3519426.0,2.39
Kinh doanh vận tải biển,Kinh doanh vận tải biển,Kinh doanh vận tải biển,1.652.285,"0,95",683.712,"0,47",1652285.0,0.95,683712.0,0.47
"Kinh doanh dịch vụ khách sạn, du lịch, ănuống, vui chơi giải trí","Kinh doanh dịch vụ khách sạn, du lịch, ănuống, vui chơi giải trí","Kinh doanh dịch vụ khách sạn, du lịch, ănuống, vui chơi giải trí",448.558,"0,26",188.876,"0,13",448558.0,0.26,188876.0,0.13
Kinh doanh bắt động sản và cơ sở hạ tầng,Kinh doanh bắt động sản và cơ sở hạ tầng,Kinh doanh bắt động sản và cơ sở hạ tầng,16.883.000,"9,66",13.163.399,"8,96",16883000.0,9.66,13163399.0,8.96
