row_label_raw,row_label_full,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh_1,Công cụ tài chính phải sinh_2,Công cụ tài chính phải sinh_3,Công cụ tài chính phải sinh_4,numeric__Công cụ tài chính phải sinh_1,numeric__Công cụ tài chính phải sinh_2,numeric__Công cụ tài chính phải sinh_3,numeric__Công cụ tài chính phải sinh_4
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,67.839.697,-,(67.298),(67.298),67839697.0,,-67298.0,-67298.0
Giao dịch hoán đổi,Giao dịch hoán đổi,Giao dịch hoán đổi,222.988.861,-,(662.830),(662.830),222988861.0,,-662830.0,-662830.0
,,,290.828.558,-,(730.128),(730.128),290828558.0,,-730128.0,-730128.0
