row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,Giá trị ghi sổ > Nắm giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,numeric__Giá trị ghi sổ > Nắm giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.203.088,-,-,-,-,1.203.088,1.203.088,1203088.0,,,,,1203088.0,1203088.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,5.494.572,-,-,5.494.572,(*),,,5494572.0,,,5494572.0,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,63.609.147,-,-,63.609.147,(*),,,63609147.0,,,63609147.0,
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,-,-,174.719.271,-,-,174.719.271,(*),,,174719271.0,,,174719271.0,
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,-,-,-,65.604.781,-,65.604.781,(*),,,,65604781.0,,65604781.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,1.236,-,1.236,(*),,,,1236.0,,1236.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,10.341.588,-,-,10.341.588,(*),,,10341588.0,,,10341588.0,
,,,1.203.088,-,254.164.578,65.606.017,-,320.973.683,,1203088.0,,254164578.0,65606017.0,,320973683.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,9.203.519,9.203.519,(*),,,,,9203519.0,9203519.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,91.987.096,91.987.096,(*),,,,,91987096.0,91987096.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,154.608.447,154.608.447,(*),,,,,154608447.0,154608447.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,730.128,-,-,-,-,730.128,,730128.0,,,,,730128.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,21.210.596,21.210.596,(*),,,,,21210596.0,21210596.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,3.842.724,3.842.724,(*),,,,,3842724.0,3842724.0,
,,,730.128,-,-,-,280.852.382,281.582.510,,730128.0,,,,280852382.0,281582510.0,
