row_label_raw,row_label_full,col_0,Năm 2024 triệu đồng,Năm 2023 triệu đồng,numeric__Năm 2024 triệu đồng,numeric__Năm 2023 triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,1.800.319,586.742,1800319.0,586742.0
Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,1.338.284,166.207,1338284.0,166207.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,535,177,535.0,177.0
Thu từ chuyển nhượng thanh lý tài sản,Thu từ chuyển nhượng thanh lý tài sản,Thu từ chuyển nhượng thanh lý tài sản,307,469,307.0,469.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,461.193,419.889,461193.0,419889.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(577.472),(709.644),-577472.0,-709644.0
Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,(8),-,-8.0,
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(52),(64),-52.0,-64.0
Chi phí khác,Chi phí khác,Chi phí khác,(577.412),(709.580),-577412.0,-709580.0
Lãi/(Lỗ) thuần từ hoạt động khác,Lãi/(Lỗ) thuần từ hoạt động khác,Lãi/(Lỗ) thuần từ hoạt động khác,1.222.847,(122.902),1222847.0,-122902.0
