row_label_raw,row_label_full,col_0,Chưa bị giảm giá triệu đồng,Bị giảm giá nhưng không có dự phòng triệu đồng,Bị giảm giá và có dự phòng triệu đồng,Tổng công triệu đồng,numeric__Chưa bị giảm giá triệu đồng,numeric__Bị giảm giá nhưng không có dự phòng triệu đồng,numeric__Bị giảm giá và có dự phòng triệu đồng,numeric__Tổng công triệu đồng
Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,48.873.164,-,-,48.873.164,48873164.0,,,48873164.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,168.164.310,1.825.195,4.729.383,174.718.888,168164310.0,1825195.0,4729383.0,174718888.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,383,383,,,383.0,383.0
"Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành",21.207.012,376.000,28.385,21.611.397,21207012.0,376000.0,28385.0,21611397.0
Tải sản có rủi ro tín dụng khác,Tải sản có rủi ro tín dụng khác,Tải sản có rủi ro tín dụng khác,25.971,4.001.159,-,4.027.130,25971.0,4001159.0,,4027130.0
Tổng cộng,Tổng cộng,Tổng cộng,238.270.457,6.202.354,4.758.151,249.230.962,238270457.0,6202354.0,4758151.0,249230962.0
