row_label_raw,row_label_full,Số dư đầu năm > Hoàn nhập trong năm > Xử lý rủi ro trong năm,Năm 2024 triệu đồng > 43.650 > (8) > -,Năm 2023 triệu đồng > 40.068 > (70) > (29.541),numeric__Năm 2024 triệu đồng > 43.650 > (8) > -,numeric__Năm 2023 triệu đồng > 40.068 > (70) > (29.541)
Tăng khác,Tăng khác,Tăng khác,240,33.193,240.0,33193.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,43.882,43.650,43882.0,43650.0
