row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tàitriệu đồng,Thiết bịdụng cụ quản lýtriệu đồng,TSCDhữu hình kháctriệu đồng,Tổng côngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tàitriệu đồng,numeric__Thiết bịdụng cụ quản lýtriệu đồng,numeric__TSCDhữu hình kháctriệu đồng,numeric__Tổng côngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,24.498,445.848,91.172,76.152,5.592,643.262,24498.0,445848.0,91172.0,76152.0,5592.0,643262.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,79.746,-,17.683,-,97.429,,79746.0,,17683.0,,97429.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(119),(2.233),(1.150),(4.887),-,(8.389),-119.0,-2233.0,-1150.0,-4887.0,,-8389.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.379,523.361,90.022,88.948,5.592,732.302,24379.0,523361.0,90022.0,88948.0,5592.0,732302.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,11.607,286.243,77.470,66.084,1.083,442.487,11607.0,286243.0,77470.0,66084.0,1083.0,442487.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,375,51.700,2.734,9.958,1.092,65.859,375.0,51700.0,2734.0,9958.0,1092.0,65859.0
Thanh lý trong năm,Giá trị khấu hao luỹ kế > Thanh lý trong năm,Thanh lý trong năm,(119),(2.233),(1.150),(4.887),-,(8.389),-119.0,-2233.0,-1150.0,-4887.0,,-8389.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,11.863,335.710,79.054,71.155,2.175,499.957,11863.0,335710.0,79054.0,71155.0,2175.0,499957.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.891,159.605,13.702,10.068,4.509,200.775,12891.0,159605.0,13702.0,10068.0,4509.0,200775.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.516,187.651,10.968,17.793,3.417,232.345,12516.0,187651.0,10968.0,17793.0,3417.0,232345.0
