row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Nguyễn Hoàng LinhÔng Nguyễn Phi Hùng,Ông Nguyễn Hoàng LinhÔng Nguyễn Phi Hùng,Ông Nguyễn Hoàng LinhÔng Nguyễn Phi Hùng,Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc –,
Bà Nguyễn Hương Loan,Bà Nguyễn Hương Loan,Bà Nguyễn Hương Loan,Tổng Giám đốc Ngân hàng Định chế Tài chínhPhó Tổng Giám đốc – Tổng Giám đốc Ngân hàng Doanh nghiệp(Miễn nhiệm ngày 11/01/2025),
Ông Nguyễn Thế MinhBà Nguyễn Thị Mỹ Hạnh,Ông Nguyễn Thế MinhBà Nguyễn Thị Mỹ Hạnh,Ông Nguyễn Thế MinhBà Nguyễn Thị Mỹ Hạnh,Phó Tổng Giám đốc – Tổng Giám đốc Ngân hàng Bán lẻPhó Tổng Giám đốc – Giám đốc Khối Chiến lược(Miễn nhiệm ngày 11/01/2025),
Bà Đình Thị Tố Uyên,Bà Đình Thị Tố Uyên,Bà Đình Thị Tố Uyên,Tổng Giám đốc Ngân hàng Doanh nghiệp(Bỗ nhiệm ngày 11/01/2025),
Ông Hoàng Việt Phương,Ông Hoàng Việt Phương,Ông Hoàng Việt Phương,Giám đốc Khối Chiến lược và đổi mới sáng tạo(Bỗ nhiệm ngày 06/02/2025),
Ông Vũ Ngọc Bồng LaiÔng Bùi Đức QuangBà Nguyễn Thị Thu HằngÔng Nguyễn Quốc KhánhÔng Nguyễn Ngọc Cương,Ông Vũ Ngọc Bồng LaiÔng Bùi Đức QuangBà Nguyễn Thị Thu HằngÔng Nguyễn Quốc KhánhÔng Nguyễn Ngọc Cương,Ông Vũ Ngọc Bồng LaiÔng Bùi Đức QuangBà Nguyễn Thị Thu HằngÔng Nguyễn Quốc KhánhÔng Nguyễn Ngọc Cương,Tổng Giám đốc Ngân hàng Quản lý tín dụngGiám đốc Khối Quản lý Tài chínhGiám đốc Khối Công nghệGiám đốc Nhận sựGiám đốc Khối Tư vấn Pháp lý và Tuân thủ(Miễn nhiệm ngày 11/01/2025)Giám đốc Khối Tư vấn Pháp lý và Tuân thủ(Bỗ nhiệm ngày 11/01/2025)Giám đốc Truyền thông và Marketing(Miễn nhiệm ngày 11/01/2025),
Bà Lại Thanh Mai,Bà Lại Thanh Mai,Bà Lại Thanh Mai,Giám đốc Khối Tư vấn Pháp lý và Tuân thủ(Bỗ nhiệm ngày 11/01/2025)Giám đốc Truyền thông và Marketing(Miễn nhiệm ngày 11/01/2025),
Bà Đình Thị Kim Anh,Bà Đình Thị Kim Anh,Bà Đình Thị Kim Anh,Giám đốc Khối Vận hànhGiám đốc Khối Quản lý Rủi ro(Bỗ nhiệm ngày 15/04/2024)Giám đốc Khối Quản lý Rủi ro(Miễn nhiệm ngày 15/04/2024),
Ông Dương Ngọc DũngBà Nguyễn Hà Thanh,Ông Dương Ngọc DũngBà Nguyễn Hà Thanh,Ông Dương Ngọc DũngBà Nguyễn Hà Thanh,Giám đốc Khối Khách hàng chiến lược(Miễn nhiệm ngày 11/01/2025)Giám đốc Khối Văn phòng và Dịch vụ nội bộ(Miễn nhiệm ngày 11/01/2025),
Ông Nguyễn Tiến ĐứcBà Lê Cẩm Thủy,Ông Nguyễn Tiến ĐứcBà Lê Cẩm Thủy,Ông Nguyễn Tiến ĐứcBà Lê Cẩm Thủy,(Miễn nhiệm ngày 15/04/2024)Giám đốc Khối Khách hàng chiến lược(Miễn nhiệm ngày 11/01/2025),
Ông Nguyễn Việt SơnBà Nguyễn Thu Trang,Ông Nguyễn Việt SơnBà Nguyễn Thu Trang,Ông Nguyễn Việt SơnBà Nguyễn Thu Trang,(Giám đốc Khối Văn phòng và Dịch vụ nội bộ(Miễn nhiệm ngày 11/01/2025),
