row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng,Ngày 31 tháng 12năm 2023Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2023Phải thu/(Phải trả)triệu đồng
Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,,
Góp vốn,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Góp vốn,Góp vốn,697.076,697.076,697076.0,697076.0
Tiền gửi không kỳ hạn của TNEX FINANCE tạiMSB,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Tiền gửi không kỳ hạn của TNEX FINANCE tạiMSB,Tiền gửi không kỳ hạn của TNEX FINANCE tạiMSB,(37.632),(18.415),-37632.0,-18415.0
Tiền gửi có kỳ hạn TNEX FINANCE tại MSB,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Tiền gửi có kỳ hạn TNEX FINANCE tại MSB,Tiền gửi có kỳ hạn TNEX FINANCE tại MSB,-,(200.000),,-200000.0
Tiền gửi có kỳ hạn của MSB tại TNEX FINANCE,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Tiền gửi có kỳ hạn của MSB tại TNEX FINANCE,Tiền gửi có kỳ hạn của MSB tại TNEX FINANCE,2.913.000,1.838.800,2913000.0,1838800.0
Phải trả lãi tiền gửi,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Phải trả lãi tiền gửi,Phải trả lãi tiền gửi,-,(58),,-58.0
Phải thu lãi tiền gửi,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Phải thu lãi tiền gửi,Phải thu lãi tiền gửi,4.884,709,4884.0,709.0
Hoạt động mua nợ,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Hoạt động mua nợ,Hoạt động mua nợ,383,383,383.0,383.0
Các khoản phải thu khác,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Các khoản phải thu khác,Các khoản phải thu khác,61,61,61.0,61.0
Các khoản phải trả khác,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Các khoản phải trả khác,Các khoản phải trả khác,-,(93.871),,-93871.0
Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,,
Tiền gửi không kỳ hạn,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(6.607),(3.638),-6607.0,-3638.0
Tiền gửi có kỳ hạn,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,-,(1.555.000),,-1555000.0
Các khoản lãi phải trả,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn > Các khoản lãi phải trả,Các khoản lãi phải trả,-,(21.864),,-21864.0
CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(8.515),(3.588),-8515.0,-3588.0
Tiền gửi có kỳ hạn,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(760),-,-760.0,
Phải trả lãi tiền gửi,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Phải trả lãi tiền gửi,Phải trả lãi tiền gửi,(2),-,-2.0,
Tiền vay,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,35,48,35.0,48.0
CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(705),(381),-705.0,-381.0
Tiền vay,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,17,13,17.0,13.0
