row_label_raw,row_label_full,Nhóm nợ,Nhóm nợ_1,Điễn giải,Tỷ lệ dự phòng,numeric__Nhóm nợ_1,numeric__Điễn giải,numeric__Tỷ lệ dự phòng
1,1,1,Nợ đủ tiêu chuẩn,(a) Nợ trong hạn và được đánh giá là có khả năng thu hồi đầy đủ cả nợ gốc và lãi đúng hạn; hoặc(b) Nợ quá hạn dưới 10 ngày và được đánh giá là có khả năng thu hồi đầy đủ nợ gốc và lãi bị quá hạn và thu hồi đầy đủ nợ gốc và lãi còn lại đúng thời hạn.,0%,,,0.0
2,2,2,Nợ cần chú ý,(a) Nợ quá hạn đến 90 ngày trừ khoản nợ quy định tại điểm (b) của Nhóm 1; hoặc(b) Nợ điều chỉnh kỳ hạn trả nợ lần đầu còn trong hạn.,5%,,,0.05
3,3,3,Nợ dưới tiêu chuẩn,"(a) Nợ quá hạn từ 91 ngày đến 180 ngày; hoặc(b) Nợ gia hạn nợ lần đầu còn trong hạn; hoặc(c) Nợ được miễn hoặc giảm lãi do khách hàng không đủ khả năng trả lãi đầy đủ theo thỏa thuận; hoặc(d) Nợ thuộc một trong các trường hợp sau đây chưa thu hồi được trong thời gian dưới 30 ngày kể từ ngày ngân hàng ký văn bản thu hồi khoản nợ (sau đây gọi là ngày có quyết định thu hồi):▸ Khoản nợ vi phạm quy định tại các khoản 1, 3, 4, 5, 6 Điều 134 Luật các tổ chức tín dụng; hoặc▸ Khoản nợ vi phạm quy định tại các khoản 1, 2, 3, 4 Điều 135 Luật các tổ chức tín dụng; hoặc▸ Khoản nợ vi phạm quy định tại các khoản 1, 2, 5, 9 Điều 136 Luật các tổ chức tín dụng.(e) Nợ trong thời hạn thu hồi theo kết luận thanh tra, kiểm tra; hoặc(f) Khoản nợ phải thu hồi theo quyết định thu hồi nợ trước hạn của Ngân hàng do khách hàng vi phạm thỏa thuận với Ngân hàng chưa thu hồi được trong thời gian dưới 30 ngày kể từ ngày có quyết định thu hồi; hoặc(g) Khí có yêu cầu của NHNN dưa trên kết quả thanh tra, giám sát và thông tin tín dụng có liên quan.",20%,,,0.2
