row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,34.941,554.263,22.047,611.251,34941.0,554263.0,22047.0,611251.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,34.374,18.050,-,52.424,34374.0,18050.0,,52424.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,69.315,572.313,22.047,663.675,69315.0,572313.0,22047.0,663675.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,415.825,12.514,428.339,,415825.0,12514.0,428339.0
Hao mòn trong năm,Giá trị hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,909,31.283,2.837,35.029,909.0,31283.0,2837.0,35029.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,909,447.108,15.351,463.368,909.0,447108.0,15351.0,463368.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,34.941,138.438,9.533,182.912,34941.0,138438.0,9533.0,182912.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,68.406,125.205,6.696,200.307,68406.0,125205.0,6696.0,200307.0
