row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Ngày 31 tháng 12năm 2024triệu đồng,Ngày 31 tháng 12năm 2023triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2024triệu đồng,numeric__Ngày 31 tháng 12năm 2023triệu đồng
1.,1.,1.,Bảo lãnh vay vốn,38,183.030,31.980,,38.0,183030.0,31980.0
2.,2.,2.,Cam kết giao dịch hối đoái,38,479.800.332,343.840.786,,38.0,479800332.0,343840786.0
2.,2.,2.,2.1 Cam kết mua ngoại tệ,,11.749.712,11.263.221,,,11749712.0,11263221.0
2.,2.,2.,2.2 Cam kết bán ngoại tệ,,11.751.127,11.255.288,,,11751127.0,11255288.0
2.,2.,2.,2.3 Cam kết giao dịch hoán đổi,,456.299.493,321.322.277,,,456299493.0,321322277.0
3.,3.,3.,Cam kết trong nghiệp vụ LC,38,3.135.897,7.555.360,,38.0,3135897.0,7555360.0
4.,4.,4.,Bảo lãnh khác,38,24.893.161,21.686.263,,38.0,24893161.0,21686263.0
5.,5.,5.,Các cam kết khác,38,20.300.893,11.326.397,,38.0,20300893.0,11326397.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,39,1.490.063,2.055.173,,39.0,1490063.0,2055173.0
7.,7.,7.,Nợ khó đòi đã xử lý,40,15.158.868,15.452.637,,40.0,15158868.0,15452637.0
8.,8.,8.,Tài sản và chứng từ khác,41,94.502.930,83.676.862,,41.0,94502930.0,83676862.0
