row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,2.442.030.431.164,2.213.087.384.914,100.0,,2442030431164.0,2213087384914.0
I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,110,5,145.899.051.246,702.509.175.685,110.0,5.0,145899051246.0,702509175685.0
1. Tiền,1. Tiền,1. Tiền,111,,73.899.051.246,20.501.175.685,111.0,,73899051246.0,20501175685.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,72.000.000.000,682.008.000.000,112.0,,72000000000.0,682008000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,1.024.941.939.011,951.688.000.000,120.0,6.0,1024941939011.0,951688000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,1.024.941.939.011,951.688.000.000,123.0,,1024941939011.0,951688000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,292.294.788.684,173.573.975.161,130.0,,292294788684.0,173573975161.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,29.424.558.862,15.251.076.332,131.0,,29424558862.0,15251076332.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,249.627.115.561,141.206.460.000,132.0,7.0,249627115561.0,141206460000.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,13.243.114.261,17.116.438.829,136.0,8.0,13243114261.0,17116438829.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,9,900.411.944.856,369.916.389.790,140.0,9.0,900411944856.0,369916389790.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,904.950.295.424,369.916.389.790,141.0,,904950295424.0,369916389790.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(4.538.350.568),-,149.0,,-4538350568.0,
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,78.482.707.367,15.399.844.278,150.0,,78482707367.0,15399844278.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,10,632.743.209,-,151.0,10.0,632743209.0,
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,74.294.166.846,3.465.017.382,152.0,,74294166846.0,3465017382.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,3.555.797.312,11.934.826.896,153.0,,3555797312.0,11934826896.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,936.208.997.659,939.309.879.587,200.0,,936208997659.0,939309879587.0
I Các khoản phải thu dài hạn,I Các khoản phải thu dài hạn,I Các khoản phải thu dài hạn,210,,366.862.600.000,139.623.210.000,210.0,,366862600000.0,139623210000.0
I. Phải thu dài hạn khác,I. Phải thu dài hạn khác,I. Phải thu dài hạn khác,216,8,366.862.600.000,139.623.210.000,216.0,8.0,366862600000.0,139623210000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,25.431.913.509,9.493.508.541,220.0,,25431913509.0,9493508541.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,11,21.911.913.509,9.493.508.541,221.0,11.0,21911913509.0,9493508541.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,28.481.693.845,13.473.079.215,222.0,,28481693845.0,13473079215.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(6.569.780.336),(3.979.570.674),223.0,,-6569780336.0,-3979570674.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,,3.520.000.000,-,227.0,,3520000000.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,3.520.000.000,-,228.0,,3520000000.0,
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,-,-,229.0,,,
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,2.128.409.091,2.079.090.909,240.0,,2128409091.0,2079090909.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,2.128.409.091,2.079.090.909,242.0,,2128409091.0,2079090909.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,6,530.723.869.031,788.081.827.022,250.0,6.0,530723869031.0,788081827022.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,530.723.869.031,788.081.827.022,252.0,,530723869031.0,788081827022.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,11.062.206.028,32.243.115,260.0,,11062206028.0,32243115.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,10,11.062.206.028,32.243.115,261.0,10.0,11062206028.0,32243115.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,3.378.239.428.823,3.152.397.264.501,270.0,,3378239428823.0,3152397264501.0
