row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,145.899.051.246,702.509.175.685,145899051246.0,702509175685.0
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",409.530.273.123,171.990.725.161,409530273123.0,171990725161.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.024.941.939.011,951.688.000.000,1024941939011.0,951688000000.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,530.723.869.031,788.081.827.022,530723869031.0,788081827022.0
Cộng,Tài sản tài chính > Cộng,Cộng,2.111.095.132.411,2.614.269.727.868,2111095132411.0,2614269727868.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,55.071.741.506,50.000.689.700,55071741506.0,50000689700.0
Công nợ tài chính khác,Công nợ tài chính > Công nợ tài chính khác,Công nợ tài chính khác,242.765.018,642.388.897,242765018.0,642388897.0
Cộng,Công nợ tài chính > Cộng,Cộng,58.015.600.290,50.643.078.597,58015600290.0,50643078597.0
