row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích Cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích Cổ đông không kiểm soát VND,numeric__Tổng VND
Số đầu năm trước,Số đầu năm trước,Số đầu năm trước,2.330.904.280.000,124.532.011.543,-,19.572.915.034,284.794.837.523,1.365.103.508,2.761.169.147.608,2330904280000.0,124532011543.0,,19572915034.0,284794837523.0,1365103508.0,2761169147608.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,300.000.000.000,15.000.000.000,-,-,-,-,315.000.000.000,300000000000.0,15000000000.0,,,,,315000000000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,116.536.350.000,-,-,-,(116.536.350.000),-,-,116536350000.0,,,,-116536350000.0,,
"Tăng, giảm Cổ phiếu quỹ","Tăng, giảm Cổ phiếu quỹ","Tăng, giảm Cổ phiếu quỹ",-,-,(42.082.508.146),-,-,-,(42.082.508.146),,,-42082508146.0,,,,-42082508146.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(107.896.940.440),(84.000.000),(107.980.940.440),,,,,-107896940440.0,-84000000.0,-107980940440.0
Phân phối lợi nhuận trong năm,Phân phối lợi nhuận trong năm,Phân phối lợi nhuận trong năm,-,-,-,-,138.514.676.294,13.313.648,138.527.989.942,,,,,138514676294.0,13313648.0,138527989942.0
Ảnh hưởng ghi nhận theo pp vốn chủ,Ảnh hưởng ghi nhận theo pp vốn chủ,Ảnh hưởng ghi nhận theo pp vốn chủ,-,-,-,-,2.752.215.115,-,2.752.215.115,,,,,2752215115.0,,2752215115.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,2.528.672,-,2.528.672,,,,,2528672.0,,2528672.0
Giảm khác,Giảm khác,Giảm khác,-,(261.085.952),-,-,-,(2.506.270),(263.592.222),,-261085952.0,,,,-2506270.0,-263592222.0
Số đầu năm nay,Số đầu năm nay,Số đầu năm nay,2.747.440.630.000,139.270.925.591,(42.082.508.146),19.572.915.034,201.630.967.164,1.291.910.886,3.067.124.840.529,2747440630000.0,139270925591.0,-42082508146.0,19572915034.0,201630967164.0,1291910886.0,3067124840529.0
Tăng trong năm do hợp nhất,Tăng trong năm do hợp nhất,Tăng trong năm do hợp nhất,-,-,-,-,-,67.903.339.800,67.903.339.800,,,,,,67903339800.0,67903339800.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,91.988.703.280,157.072.168,92.145.775.448,,,,,91988703280.0,157072168.0,92145775448.0
Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,Ảnh hưởng ghi nhận biến động giá trị hợp lý trong năm,-,-,-,-,(6.293.949.620),(685.937.418),(6.979.887.038),,,,,-6293949620.0,-685937418.0,-6979887038.0
Số cuối năm nay,Số cuối năm nay,Số cuối năm nay,2.747.440.630.000,139.270.925.591,(42.082.508.146),19.572.915.034,287.325.720.824,68.666.385.436,3.220.194.068.739,2747440630000.0,139270925591.0,-42082508146.0,19572915034.0,287325720824.0,68666385436.0,3220194068739.0
