row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,,
"Mua hàng hóa, dịch vụ","Công ty CP Đầu tư DV TC Hoàng Huy > Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",617.685.545.455,401.918.900.000,617685545455.0,401918900000.0
Thanh toán và ứng trước tiền hàng,Công ty CP Đầu tư DV TC Hoàng Huy > Thanh toán và ứng trước tiền hàng,Thanh toán và ứng trước tiền hàng,767.198.000.000,248.920.074.750,767198000000.0,248920074750.0
Công ty Cổ phần Đầu tư dịch vụ Thành Nam,Công ty Cổ phần Đầu tư dịch vụ Thành Nam,Công ty Cổ phần Đầu tư dịch vụ Thành Nam,Công ty Cổ phần Đầu tư dịch vụ Thành Nam,Công ty Cổ phần Đầu tư dịch vụ Thành Nam,,
Góp vốn,Công ty Cổ phần Đầu tư dịch vụ Thành Nam > Góp vốn,Góp vốn,-,208.000.000.000,,208000000000.0
"Bán hàng hóa, thành phẩm","Công ty Cổ phần Đầu tư dịch vụ Thành Nam > Bán hàng hóa, thành phẩm","Bán hàng hóa, thành phẩm",1.140.000.000,,1140000000.0,
Trả thường theo doanh số,Công ty Cổ phần Đầu tư dịch vụ Thành Nam > Trả thường theo doanh số,Trả thường theo doanh số,50.000.000,,50000000.0,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,,
Bàn giao công trình,Công ty TNHH Pruksa Việt Nam > Bàn giao công trình,Bàn giao công trình,-,20.826.854.379,,20826854379.0
Chi phí khác,Công ty TNHH Pruksa Việt Nam > Chi phí khác,Chi phí khác,-,762.519.765,,762519765.0
Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,,
"Bán hàng hóa, thành phẩm","Công ty cổ phần đầu tư xây dựng Hoàng Hiệp > Bán hàng hóa, thành phẩm","Bán hàng hóa, thành phẩm",480.000.000,13.977.500.000,480000000.0,13977500000.0
