row_label_raw,row_label_full,Chỉ tiêu,Miền Bắc VND,Miền Trung VND,Miền Nam VND,Cộng VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Miền Nam VND,numeric__Cộng VND
1. Doanh thu thuần,1. Doanh thu thuần,1. Doanh thu thuần,554.031.887.194,137.835.272.733,542.919.545.453,1.234.786.705.380,554031887194.0,137835272733.0,542919545453.0,1234786705380.0
- Doanh thu kinh doanh ô tô tải và đầu kéo,- Doanh thu kinh doanh ô tô tải và đầu kéo,- Doanh thu kinh doanh ô tô tải và đầu kéo,502.366.793.671,137.835.272.733,542.919.545.453,1.183.121.611.857,502366793671.0,137835272733.0,542919545453.0,1183121611857.0
- Doanh thu KD BĐS,- Doanh thu KD BĐS,- Doanh thu KD BĐS,51.665.093.523,-,-,51.665.093.523,51665093523.0,,,51665093523.0
2. Giá vốn,2. Giá vốn,2. Giá vốn,539.690.414.244,138.923.252.767,541.932.170.205,1.220.545.837.216,539690414244.0,138923252767.0,541932170205.0,1220545837216.0
- Giá vốn kinh doanh ô tô tải và đầu kéo,- Giá vốn kinh doanh ô tô tải và đầu kéo,- Giá vốn kinh doanh ô tô tải và đầu kéo,491.163.805.595,138.923.252.767,541.932.170.205,1.172.019.228.567,491163805595.0,138923252767.0,541932170205.0,1172019228567.0
- Giá vốn KD BĐS,- Giá vốn KD BĐS,- Giá vốn KD BĐS,48.526.608.649,-,-,48.526.608.649,48526608649.0,,,48526608649.0
3. Lợi nhuận gộp,3. Lợi nhuận gộp,3. Lợi nhuận gộp,14.341.472.950,(1.087.980.034),987.375.248,14.240.868.164,14341472950.0,-1087980034.0,987375248.0,14240868164.0
- Lợi nhuận gộp từ kinh doanh ô tô tải và đầu kéo,- Lợi nhuận gộp từ kinh doanh ô tô tải và đầu kéo,- Lợi nhuận gộp từ kinh doanh ô tô tải và đầu kéo,11.202.988.076,(1.087.980.034),987.375.248,11.102.383.290,11202988076.0,-1087980034.0,987375248.0,11102383290.0
- Lợi nhuận gộp KD BĐS,- Lợi nhuận gộp KD BĐS,- Lợi nhuận gộp KD BĐS,3.138.484.874,-,-,3.138.484.874,3138484874.0,,,3138484874.0
4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,66.240.060.446,11.984.346.711,52.477.981.049,130.702.388.206,66240060446.0,11984346711.0,52477981049.0,130702388206.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,58.847.562.228,11.984.346.711,52.477.981.049,123.309.889.988,58847562228.0,11984346711.0,52477981049.0,123309889988.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,3.138.484.874,-,-,3.138.484.874,3138484874.0,,,3138484874.0
- LN khác,- LN khác,- LN khác,4.254.013.344,-,-,4.254.013.344,4254013344.0,,,4254013344.0
5. TS cổ định hữu hình,5. TS cổ định hữu hình,5. TS cổ định hữu hình,28.481.693.845,-,-,28.481.693.845,28481693845.0,,,28481693845.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,13.741.813.503,-,-,13.741.813.503,13741813503.0,,,13741813503.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,14.739.880.342,-,-,14.739.880.342,14739880342.0,,,14739880342.0
