row_label_raw,row_label_full,col_0,Số năm khấu hao,numeric__Số năm khấu hao
Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,05 - 45,
Phương tiện vận tải,Nhà cửa vật kiến trúc > Phương tiện vận tải,Phương tiện vận tải,08,8.0
Thiết bị văn phòng,Nhà cửa vật kiến trúc > Thiết bị văn phòng,Thiết bị văn phòng,05,5.0
