row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm(Số liệu đã công bố) > Triệu VND,Số điều chỉnh của KTNN > Triệu VND,Số đầu năm(Trình bày lại) > Triệu VND,numeric__Số đầu năm(Số liệu đã công bố) > Triệu VND,numeric__Số điều chỉnh của KTNN > Triệu VND,numeric__Số đầu năm(Trình bày lại) > Triệu VND
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.245.057.876,372.588,1.245.430.464,1245057876.0,372588.0,1245430464.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.274.821.709,21.985,1.274.843.694,1274821709.0,21985.0,1274843694.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(29.763.833),350.603,(29.413.230),-29763833.0,350603.0,-29413230.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,10.202.191,1.166,10.203.357,10202191.0,1166.0,10203357.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,6.047.480,373,6.047.853,6047480.0,373.0,6047853.0
Nguyên giá TSCĐ,Nguyên giá TSCĐ,Nguyên giá TSCĐ,16.190.830,393,16.191.223,16190830.0,393.0,16191223.0
Hao mòn TSCĐ,Hao mòn TSCĐ,Hao mòn TSCĐ,(10.143.350),(20),(10.143.370),-10143350.0,-20.0,-10143370.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,4.154.711,793,4.155.504,4154711.0,793.0,4155504.0
Nguyên giá TSCĐ,Nguyên giá TSCĐ,Nguyên giá TSCĐ,6.779.297,-,6.779.297,6779297.0,,6779297.0
Hao mòn TSCĐ,Hao mòn TSCĐ,Hao mòn TSCĐ,(2.624.586),793,(2.623.793),-2624586.0,793.0,-2623793.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,81.646.479,7.350,81.653.829,81646479.0,7350.0,81653829.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,3.314.998,7.350,3.322.348,3314998.0,7350.0,3322348.0
TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,1.808.429.764,381.104,1.808.810.868,1808429764.0,381104.0,1808810868.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,43.114.308,232.453,43.346.761,43114308.0,232453.0,43346761.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,20.487.746,232.453,20.720.199,20487746.0,232453.0,20720199.0
TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,1.700.262.107,232.453,1.700.494.560,1700262107.0,232453.0,1700494560.0
Vốn và các quỹ,Vốn và các quỹ,Vốn và các quỹ,108.167.657,148.651,108.316.308,108167657.0,148651.0,108316308.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,33.364.370,148.651,33.513.021,33364370.0,148651.0,33513021.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,1.808.429.764,381.104,1.808.810.868,1808429764.0,381104.0,1808810868.0
