row_label_raw,row_label_full,Bên liên quan,Quan hệ,Số dư,Phải thu/(Phải trả),Phải thu/(Phải trả)_1,numeric__Quan hệ,numeric__Số dư,numeric__Phải thu/(Phải trả),numeric__Phải thu/(Phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Quan hệ,Số dư,Số cuối năm,Số đầu năm,,,,
,,,,,Triệu VND,Triệu VND,,,,
Ngân hàng Nhà nước Việt Nam,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Chủ sở hữu và Cơ quan quản lý trực tiếp,Tiền gửi của Ngân hàng tại NHNN,40.597.059,29.727.110,,,40597059.0,29727110.0
Ngân hàng Nhà nước Việt Nam,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Chủ sở hữu và Cơ quan quản lý trực tiếp,Tiền vay NHNN,(766.887),(1.736.629),,,-766887.0,-1736629.0
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng liên doanh,Tiền gửi của Ngân hàng,483,1.025.483,,,483.0,1025483.0
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng liên doanh,Tiền gửi tại Ngân hàng,(22.098),(124.277),,,-22098.0,-124277.0
Ngân hàng TNHH Indovina,Bên liên quan > Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng liên doanh,Lãi dự thu,-,230,,,,230.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Tiền gửi của Ngân hàng,196.921,212.265,,,196921.0,212265.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Tiền gửi tại Ngân hàng,(180.918),(59.918),,,-180918.0,-59918.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Tiền Ngân hàng vay,(714.097.824),(8.197.594),,,-714097824.0,-8197594.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Lãi dự trả,(3.051),(90.586),,,-3051.0,-90586.0
