row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Tổng
,,,Trên 03 tháng,Đến 03 tháng,Đến 01 tháng,Từ 01-03 tháng,Từ 03-12 tháng,Từ 01-05 năm,Trên 05 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,9.759.580,-,-,-,-,9.759.580,,,9759580.0,,,,,9759580.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,40.597.059,-,-,-,-,40.597.059,,,40597059.0,,,,,40597059.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,229.753.174,12.065.448,38.023.017,-,-,279.841.639,,,229753174.0,12065448.0,38023017.0,,,279841639.0
Chứng khoán kính doanh (*),Tài sản > Chứng khoán kính doanh (*),Chứng khoán kính doanh (*),-,-,2.676.130,-,-,-,-,2.676.130,,,2676130.0,,,,,2676130.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),16.608.332,22.829.070,108.585.213,316.431.393,592.613.078,188.723.903,227.553.575,1.473.344.564,16608332.0,22829070.0,108585213.0,316431393.0,592613078.0,188723903.0,227553575.0,1473344564.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,8.885.946,23.098.083,70.090.981,6.184.649,73.200.813,181.460.472,,,8885946.0,23098083.0,70090981.0,6184649.0,73200813.0,181460472.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,3.440.914,3.440.914,,,,,,,3440914.0,3440914.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,10.125.534,10.125.534,,,,,,,10125534.0,10125534.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),106.697,-,6.953.194,18.041.728,16.773.608,1.942.848,15.881.854,59.699.929,106697.0,,6953194.0,18041728.0,16773608.0,1942848.0,15881854.0,59699929.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,16.715.029,22.829.070,407.210.296,369.636.652,717.500.684,196.851.400,330.202.690,2.060.945.821,16715029.0,22829070.0,407210296.0,369636652.0,717500684.0,196851400.0,330202690.0,2060945821.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,21.054.176,-,759.929,-,-,21.814.105,,,21054176.0,,759929.0,,,21814105.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,267.249.732,17.251.682,19.820.307,-,-,304.321.721,,,267249732.0,17251682.0,19820307.0,,,304321721.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,196.877.460,275.019.457,597.576.235,341.408.009,17.877,1.410.899.038,,,196877460.0,275019457.0,597576235.0,341408009.0,17877.0,1410899038.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,555.946,-,-,-,-,555.946,,,555946.0,,,,,555946.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,140.229,40.994,45.008,368.605,1.642.943,2.237.779,,,140229.0,40994.0,45008.0,368605.0,1642943.0,2237779.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.119.448,23.132.670,49.098.329,452.550,41.572.730,115.375.727,,,1119448.0,23132670.0,49098329.0,452550.0,41572730.0,115375727.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,-,20.511.647,17.628.699,9.743.913,2.251.967,-,50.136.226,,,20511647.0,17628699.0,9743913.0,2251967.0,,50136226.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,507.508.638,333.073.502,677.043.721,344.481.131,43.233.550,1.905.340.542,,,507508638.0,333073502.0,677043721.0,344481131.0,43233550.0,1905340542.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,16.715.029,22.829.070,(100.298.342),36.563.150,40.456.963,(147.629.731),286.969.140,155.605.279,16715029.0,22829070.0,-100298342.0,36563150.0,40456963.0,-147629731.0,286969140.0,155605279.0
