row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),Năm trước(Dã trình bày),numeric__Năm nay,numeric__Năm trước(Trình bày lại),numeric__Năm trước(Dã trình bày)
,,,Cố phiếu,Cố phiếu,Cố phiếu,,,
Số cổ phiếu phổ thông đã phát hành đầu năm mang sang,Số cổ phiếu phổ thông đã phát hành đầu năm mang sang,Số cổ phiếu phổ thông đã phát hành đầu năm mang sang,4.805.750.609,4.805.750.609,4.805.750.609,4805750609.0,4805750609.0,4805750609.0
Ảnh hưởng của việc chia cổ tức bằng cổ phiếu (**),Ảnh hưởng của việc chia cổ tức bằng cổ phiếu (**),Ảnh hưởng của việc chia cổ tức bằng cổ phiếu (**),564.241.139,564.241.139,-,564241139.0,564241139.0,
Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,5.369.991.748,5.369.991.748,4.805.750.609,5369991748.0,5369991748.0,4805750609.0
