row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",24.877,220.397,24877.0,220397.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,11.636.246,11.086.985,11636246.0,11086985.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,9.977.295,9.213.531,9977295.0,9213531.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,612.665,592.476,612665.0,592476.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,2.732,2.115,2732.0,2115.0
Các khoản chi khác,Các khoản chi khác,Các khoản chi khác,1.043.554,1.278.863,1043554.0,1278863.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,2.715.410,2.691.964,2715410.0,2691964.0
Chi khấu hao tài sản cố định,Chi khấu hao tài sản cố định,Chi khấu hao tài sản cố định,999.288,960.387,999288.0,960387.0
Chi khác về tài sản,Chi khác về tài sản,Chi khác về tài sản,1.716.122,1.731.577,1716122.0,1731577.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,4.909.040,4.226.915,4909040.0,4226915.0
Công tác phí,Công tác phí,Công tác phí,216.960,179.660,216960.0,179660.0
Chi về các hoạt động đoàn thể của TCTD,Chi về các hoạt động đoàn thể của TCTD,Chi về các hoạt động đoàn thể của TCTD,25.821,18.646,25821.0,18646.0
Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,4.666.259,4.028.609,4666259.0,4028609.0
Chi nộp phí bảo hiểm tiền gửi của khách hàng,Chi nộp phí bảo hiểm tiền gửi của khách hàng,Chi nộp phí bảo hiểm tiền gửi của khách hàng,985.905,880.010,985905.0,880010.0
"Chi phí dự phòng (không bao gồm chi phí dự phòng rủi ro tín dụng, chi phí dự phòng rủi ro chứng khoán)","Chi phí dự phòng (không bao gồm chi phí dự phòng rủi ro tín dụng, chi phí dự phòng rủi ro chứng khoán)","Chi phí dự phòng (không bao gồm chi phí dự phòng rủi ro tín dụng, chi phí dự phòng rủi ro chứng khoán)",172.021,88.443,172021.0,88443.0
,,,20.443.499,19.194.714,20443499.0,19194714.0
