row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
1.,1.,1.,Bảo lãnh vay vốn,39,8.785.288,7.692.271,,39.0,8785288.0,7692271.0
2.,2.,2.,Cam kết giao dịch hối đoái,39,726.235.823,260.355.738,,39.0,726235823.0,260355738.0
,,,Cam kết mua ngoại tệ,,1.407.060,1.994.153,,,1407060.0,1994153.0
,,,Cam kết bán ngoại tệ,,1.405.874,1.903.759,,,1405874.0,1903759.0
,,,Cam kết giao dịch hoán đối,,723.422.889,256.457.826,,,723422889.0,256457826.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,39,55.986.789,73.681.359,,39.0,55986789.0,73681359.0
4.,4.,4.,Bảo lãnh khác,39,102.201.746,78.213.178,,39.0,102201746.0,78213178.0
5.,5.,5.,Các cam kết khác,39,68.704.794,53.105.344,,39.0,68704794.0,53105344.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,40,9.609.251,8.353.894,,40.0,9609251.0,8353894.0
7.,7.,7.,Nợ khó đòi đã xử lý,41,147.630.472,116.930.392,,41.0,147630472.0,116930392.0
8.,8.,8.,Tài sản và chứng từ khác,42,91.656.083,101.778.024,,42.0,91656083.0,101778024.0
