row_label_raw,row_label_full,STT,CHỈ TIÊU,Miền Bắc (*) > Triệu VND,Miền Nam > Triệu VND,Khác > Triệu VND,Điều chính > Triệu VND,Tổng cộng > Triệu VND,numeric__CHỈ TIÊU,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Khác > Triệu VND,numeric__Điều chính > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Kết quả kinh doanh bộ phận trước thuế,15.202.009,6.457.382,3.688.615,(358.481),24.989.525,,15202009.0,6457382.0,3688615.0,-358481.0,24989525.0
I.,I.,I.,Chi phí thuế TNDN,(4.925.432),(6.000),(13.412),-,(4.944.844),,-4925432.0,-6000.0,-13412.0,,-4944844.0
I.,I.,I.,Chi phí thuế TNDN hoãn lại,(59),-,-,-,(59),,-59.0,,,,-59.0
II.,II.,II.,Kết quả kinh doanh bộ phận sau thuế,10.276.518,6.451.382,3.675.203,(358.481),20.044.622,,10276518.0,6451382.0,3675203.0,-358481.0,20044622.0
III.,III.,III.,Tài sản bộ phận,1.221.953.761,596.702.218,221.222.632,(7.265.005),2.032.613.606,,1221953761.0,596702218.0,221222632.0,-7265005.0,2032613606.0
IV.,IV.,IV.,Nợ phải trả bộ phận,1.104.651.158,590.121.900,216.503.587,(4.534.859),1.906.741.786,,1104651158.0,590121900.0,216503587.0,-4534859.0,1906741786.0
