row_label_raw,row_label_full,Họ tên,Chức danh,Năm nay,Năm trước,numeric__Chức danh,numeric__Năm nay,numeric__Năm trước
Họ tên,Họ tên,Họ tên,Chức danh,Triệu VND,Triệu VND,,,
HỘI ĐỒNG QUẢN TRI,Họ tên > HỘI ĐỒNG QUẢN TRI,HỘI ĐỒNG QUẢN TRI,,15.746,15.391,,15746.0,15391.0
Ông Trần Minh Bình,Họ tên > Ông Trần Minh Bình,Ông Trần Minh Bình,Chủ tịch,2.485,2.461,,2485.0,2461.0
Bà Nguyễn Thị Bắc,Họ tên > Bà Nguyễn Thị Bắc,Bà Nguyễn Thị Bắc,Thành viên độc lập,1.800,1.800,,1800.0,1800.0
Ông Nguyễn Đức Thành,Họ tên > Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Thành viên,2.064,1.987,,2064.0,1987.0
Bà Trần Thu Huyền,Họ tên > Bà Trần Thu Huyền,Bà Trần Thu Huyền,Thành viên,2.175,2.124,,2175.0,2124.0
Ông Nguyễn Thế Huân,Họ tên > Ông Nguyễn Thế Huân,Ông Nguyễn Thế Huân,Thành viên,1.869,1.826,,1869.0,1826.0
Bà Phạm Thị Thanh Hoài,Họ tên > Bà Phạm Thị Thanh Hoài,Bà Phạm Thị Thanh Hoài,Thành viên,1.631,1.593,,1631.0,1593.0
Ông Trần Văn Tần,Họ tên > Ông Trần Văn Tần,Ông Trần Văn Tần,Thành viên,1.650,1.621,,1650.0,1621.0
Ông Lê Thanh Tùng,Họ tên > Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Thành viên,1.631,1.593,,1631.0,1593.0
Thành viên do đối tác MUFJ đề cử (*),Họ tên > Thành viên do đối tác MUFJ đề cử (*),Thành viên do đối tác MUFJ đề cử (*),Thành viên,441,386,,441.0,386.0
BAN KIỂM SOÁT,Họ tên > BAN KIỂM SOÁT,BAN KIỂM SOÁT,,3.855,3.678,,3855.0,3678.0
Bà Lê Anh Hà,Họ tên > Bà Lê Anh Hà,Bà Lê Anh Hà,Trường Ban Kiểm soát,1.626,1.589,,1626.0,1589.0
Bà Nguyễn Thị Anh Thư,Họ tên > Bà Nguyễn Thị Anh Thư,Bà Nguyễn Thị Anh Thư,Thành viên,1.264,1.174,,1264.0,1174.0
Bà Phạm Thị Thơm,Họ tên > Bà Phạm Thị Thơm,Bà Phạm Thị Thơm,Thành viên,965,915,,965.0,915.0
