row_label_raw,row_label_full,STT,CHÌ TIÊU,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Năm nay,numeric__Năm trước
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01.,01.,Mua sắm tài sản cố định,(804.101),(623.680),,-804101.0,-623680.0
02.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",10.473,16.841,,10473.0,16841.0
03.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 03.,03.,"Tiền chỉ cho thanh lý, nhượng bán tài sản cố định",(2.591),(2.178),,-2591.0,-2178.0
04.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 04.,04.,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",-,6.200,,,6200.0
05.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 05.,05.,"Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",92.337,87.736,,92337.0,87736.0
II.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(703.882),(515.081),,-703882.0,-515081.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01.,01.,Cố tức trả cho cố động,-,(3.844.600),,,-3844600.0
III.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,-,(3.844.600),,,-3844600.0
IV.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV.,IV.,Lưu chuyển tiền thuần trong năm,28.064.466,80.104.048,,28064466.0,80104048.0
V.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V.,V.,Tiền và các khoản tương đương tiền đầu năm,244.298.220,164.376.586,,244298220.0,164376586.0
VI.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI.,VI.,Điều chỉnh ảnh hưởng của thay đối tỷ giá,(59.079),(182.414),,-59079.0,-182414.0
VII.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII.,VII.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 35),272.303.607,244.298.220,,272303607.0,244298220.0
